CCASS ID,Name,Holding,Change,Stake%,StakeΔ %,Lastholding
C00019,THE HONGKONG AND SHANGHAI BANKING,288391717,-108000,4.42,-0.0,2017-10-25
B01955,FUTU SECURITIES INTERNATIONAL,200000,92000,0.0,0.0,2017-10-25
B01948,CAITONG INTERNATIONAL SECURITIES CO LTD,448000,448000,0.01,0.01,2017-10-25
B01938,CHINA INDUSTRIAL SECURITIES,603570235,-348000,9.26,-0.01,2017-10-25
B01680,SUCCESS SECURITIES LTD,560000,560000,0.01,0.01,2017-10-25
B01654,CHINA INTERNATIONAL CAPITAL CORPORATION,10507600,-400000,0.16,-0.01,2017-10-25
B01610,KGI ASIA LTD,1568726,-292000,0.02,-0.0,2017-10-25
B01565,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,11654171,280000,0.18,0.0,2017-10-25
B01551,YUE XIU SECURITIES CO LTD,145200,12000,0.0,0.0,2017-10-25
B01508,SOUTHWEST SECURITIES (HK) BROKERAGE LTD,7165524,-500000,0.11,-0.01,2017-10-25
B01491,CREDIT SUISSE SECURITIES (HONG KONG) LTD,28000,-48000,0.0,-0.0,2017-10-25
B01289,SOUTH CHINA SECURITIES LTD,53600,-372000,0.0,-0.01,2017-10-25
B01275,SANFULL SECURITIES LTD,2186571,400000,0.03,0.01,2017-10-25
B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,92000,-28000,0.0,-0.0,2017-10-25
B01224,MERRILL LYNCH FAR EAST LTD,3181,-24000,0.0,-0.0,2017-10-25
B01115,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,10581197,328000,0.16,0.01,2017-10-25
,Total changed named holdings,937155722,0,14.38,0.0,
,Unchanged named holdings,4647881412,0,71.3,0.0,
,Total named holdings,5585037134,0,85.68,0.0,
,Unnamed Investor Participants,1056655,0,0.02,0.0,
,Total securities in CCASS,5586093789,0,85.7,0.0,
,Securities not in CCASS,932245163,0,14.3,0.0,
,Issued securities,6518338952,0,100.0,0.0,30-Sep-2017
