CCASS ID,Name,Holding,Change,Stake%,StakeΔ %,Lastholding
C00088,CHINA MERCHANTS BANK CO LTD,5000000,50000,0.06,0.0,2011-08-22
C00037,SHANGHAI COMMERCIAL BANK LTD,128034000,-888000,1.61,-0.01,2011-08-22
C00033,BANK OF CHINA (HONG KONG) LTD,200206000,1500000,2.52,0.02,2011-08-22
C00028,NANYANG COMMERCIAL BANK LTD,58588000,-2144000,0.74,-0.03,2011-08-22
C00019,THE HONGKONG AND SHANGHAI BANKING,481120500,-190000,6.07,-0.0,2011-08-22
B01921,GONG PING SECURITIES LTD,6000,6000,0.0,0.0,2011-08-22
B01866,ICBC INTERNATIONAL SECURITIES LTD,16112000,1300000,0.2,0.02,2011-08-22
B01826,GF SECURITIES (HONG KONG) BROKERAGE LTD,39866000,558000,0.5,0.01,2011-08-22
B01818,I-ACCESS INVESTORS LTD,562000,50000,0.01,0.0,2011-08-22
B01686,FIRST SHANGHAI SECURITIES LTD,30618000,1360000,0.39,0.02,2011-08-22
B01607,RHB SECURITIES HONG KONG LTD,15014000,-392000,0.19,-0.0,2011-08-22
B01584,CHIEF SECURITIES LTD,5910000,-158000,0.07,-0.0,2011-08-22
B01565,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,10634000,100000,0.13,0.0,2011-08-22
B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,486000,-10000,0.01,-0.0,2011-08-22
B01416,VC BROKERAGE LTD,1760000,-70000,0.02,-0.0,2011-08-22
B01345,PHILLIP SECURITIES (HONG KONG) LTD,12776000,-184000,0.16,-0.0,2011-08-22
B01266,PREMIER Q SECURITIES LTD,37358000,470000,0.47,0.01,2011-08-22
B01228,CITIC SECURITIES BROKERAGE (HK) LTD,12114000,-20000,0.15,-0.0,2011-08-22
B01183,CHONG HING SECURITIES LTD,10012000,300000,0.13,0.0,2011-08-22
B01148,CHINA MERCHANTS SECURITIES (HK) CO LTD,66716000,12000,0.84,0.0,2011-08-22
B01143,HAITONG INTERNATIONAL SECURITIES CO LTD,1081576000,-2150000,13.64,-0.03,2011-08-22
B01130,BOCI SECURITIES LTD,82762000,500000,1.04,0.01,2011-08-22
,Total changed named holdings,2297230500,0,28.97,0.0,
,Unchanged named holdings,1124224180,0,14.18,0.0,
,Total named holdings,3421454680,0,43.14,0.0,
,Unnamed Investor Participants,2698000,0,0.03,0.0,
,Total securities in CCASS,3424152680,0,43.18,0.0,
,Securities not in CCASS,4506014004,0,56.82,0.0,
,Issued securities,7930166684,0,100.0,0.0,31-Jul-2011
