CCASS ID,Name,Holding,Change,Stake%,StakeΔ %,Lastholding
C00048,CHIYU BANKING CORPORATION LTD,3150000,-1000000,0.04,-0.01,2010-11-18
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,23510000,350000,0.3,0.0,2010-11-18
C00037,SHANGHAI COMMERCIAL BANK LTD,126996000,-300000,1.6,-0.0,2010-11-18
C00036,CHINA CONSTRUCTION BANK (ASIA),5842000,230000,0.07,0.0,2010-11-18
C00033,BANK OF CHINA (HONG KONG) LTD,131624000,638000,1.66,0.01,2010-11-18
C00028,NANYANG COMMERCIAL BANK LTD,25046000,208000,0.32,0.0,2010-11-18
C00019,THE HONGKONG AND SHANGHAI BANKING,316166000,122000,3.99,0.0,2010-11-18
C00010,CITIBANK N.A.,20748738,30000,0.26,0.0,2010-11-18
C00002,BANK OF COMMUNICATIONS TRUSTEE LTD,15992000,-240000,0.2,-0.0,2010-11-18
B01789,HO FUNG SHARES INVESTMENT LTD,1134943,60000,0.01,0.0,2010-11-18
B01769,ONE CHINA SECURITIES LTD,400058,56000,0.01,0.0,2010-11-18
B01762,DBS VICKERS (HONG KONG) LTD,7112000,396000,0.09,0.0,2010-11-18
B01668,BRIGHT SMART SECURITIES INTERNATIONAL,3746000,-100000,0.05,-0.0,2010-11-18
B01646,TAI NING STOCK CO LTD,590000,100000,0.01,0.0,2010-11-18
B01599,POLARIS SECURITIES (HONG KONG) LTD,1030000,1000000,0.01,0.01,2010-11-18
B01584,CHIEF SECURITIES LTD,7910000,-66000,0.1,-0.0,2010-11-18
B01565,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,9396000,-546000,0.12,-0.01,2010-11-18
B01514,KARL-THOMSON SECURITIES CO LTD,1596000,-100000,0.02,-0.0,2010-11-18
B01469,KAISER SECURITIES LTD,9390000,306000,0.12,0.0,2010-11-18
B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,112000,-204000,0.0,-0.0,2010-11-18
B01416,VC BROKERAGE LTD,1156000,1000000,0.01,0.01,2010-11-18
B01413,CORE PACIFIC - YAMAICHI INTERNATIONAL,2540000,-200000,0.03,-0.0,2010-11-18
B01407,WIN WONG SECURITIES LTD,1514000,-100000,0.02,-0.0,2010-11-18
B01373,CHRISTFUND SECURITIES LTD,2030000,100000,0.03,0.0,2010-11-18
B01353,UOB KAY HIAN (HONG KONG) LTD,1648000,-1000000,0.02,-0.01,2010-11-18
B01338,EMPEROR SECURITIES LTD,2214000,-44000,0.03,-0.0,2010-11-18
B01324,FUNDERSTONE SECURITIES LTD,5952000,2302000,0.08,0.03,2010-11-18
B01298,GET NICE SECURITIES LTD,1540000,-100000,0.02,-0.0,2010-11-18
B01289,SOUTH CHINA SECURITIES LTD,3336000,-600000,0.04,-0.01,2010-11-18
B01284,HANG SENG SECURITIES LTD,56860000,-1200000,0.72,-0.02,2010-11-18
B01224,MERRILL LYNCH FAR EAST LTD,644000,324000,0.01,0.0,2010-11-18
B01217,TAIPING SECURITIES (HK) CO LTD,1636000,-730000,0.02,-0.01,2010-11-18
B01183,CHONG HING SECURITIES LTD,10976000,470000,0.14,0.01,2010-11-18
B01156,CMB INTERNATIONAL GLOBAL MARKETS LTD,14252000,50000,0.18,0.0,2010-11-18
B01143,HAITONG INTERNATIONAL SECURITIES CO LTD,469968163,-1612000,5.93,-0.02,2010-11-18
B01137,CHOW SANG SANG SECURITIES LTD,1428000,100000,0.02,0.0,2010-11-18
B01130,BOCI SECURITIES LTD,65150000,200000,0.82,0.0,2010-11-18
B01118,EAST ASIA SECURITIES CO LTD,9494000,200000,0.12,0.0,2010-11-18
B01086,SUN HUNG KAI INVESTMENT SERVICES LTD,9748000,100000,0.12,0.0,2010-11-18
B01080,VMS SECURITIES LTD,100000,-200000,0.0,-0.0,2010-11-18
,Total changed named holdings,1373677902,0,17.32,0.0,
,Unchanged named holdings,758867902,0,9.57,0.0,
,Total named holdings,2132545804,0,26.89,0.0,
,Unnamed Investor Participants,3166000,0,0.04,0.0,
,Total securities in CCASS,2135711804,0,26.93,0.0,
,Securities not in CCASS,5794454880,0,73.07,0.0,
,Issued securities,7930166684,0,100.0,0.0,31-Oct-2010
