CCASS ID,Name,Holding,Change,Stake%,StakeΔ %,Lastholding
C00037,SHANGHAI COMMERCIAL BANK LTD,11980713,-20000,0.21,-0.0,2015-10-06
C00033,BANK OF CHINA (HONG KONG) LTD,108145295,-24000,1.93,-0.0,2015-10-06
C00019,THE HONGKONG AND SHANGHAI BANKING,339935811,600000,6.07,0.01,2015-10-06
C00010,CITIBANK N.A.,53096386,-200000,0.95,-0.0,2015-10-06
B01955,FUTU SECURITIES INTERNATIONAL,1960000,20000,0.03,0.0,2015-10-06
B01939,SOOCHOW SECURITIES INTERNATIONAL,170000,-72000,0.0,-0.0,2015-10-06
B01938,CHINA INDUSTRIAL SECURITIES,112366531,400000,2.01,0.01,2015-10-06
B01842,BOCOM INTERNATIONAL SECURITIES LTD,2792284,-100000,0.05,-0.0,2015-10-06
B01826,GF SECURITIES (HONG KONG) BROKERAGE LTD,40052851,-12000,0.71,-0.0,2015-10-06
B01700,REALINK FINANCIAL TRADE LTD,1221600,-200000,0.02,-0.0,2015-10-06
B01497,SINOPAC SECURITIES (ASIA) LTD,114235358,-400000,2.04,-0.01,2015-10-06
B01458,YICKO SECURITIES LTD,680000,-68000,0.01,-0.0,2015-10-06
B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,354000,12000,0.01,0.0,2015-10-06
B01228,CITIC SECURITIES BROKERAGE (HK) LTD,32270948,100000,0.58,0.0,2015-10-06
B01161,UBS SECURITIES HONG KONG LTD,2127714,40000,0.04,0.0,2015-10-06
B01143,HAITONG INTERNATIONAL SECURITIES CO LTD,48635141,-100000,0.87,-0.0,2015-10-06
B01130,BOCI SECURITIES LTD,19738744,24000,0.35,0.0,2015-10-06
,Total changed named holdings,889763376,0,15.88,0.0,
,Unchanged named holdings,705121138,0,12.59,0.0,
,Total named holdings,1594884514,0,28.47,0.0,
,Unnamed Investor Participants,276655,0,0.0,0.0,
,Total securities in CCASS,1595161169,0,28.47,0.0,
,Securities not in CCASS,4007640746,0,71.53,0.0,
,Issued securities,5602801915,0,100.0,0.0,5-Oct-2015
