CCASS ID,Name,Holding,Change,Stake%,StakeΔ %,Lastholding
C00100,"JPMORGAN CHASE BANK, NATIONAL",7308000,44000,0.11,0.0,2018-04-30
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,15077566,60000,0.23,0.0,2018-04-30
C00033,BANK OF CHINA (HONG KONG) LTD,79964566,-1000,1.23,-0.0,2018-04-30
C00010,CITIBANK N.A.,3833872,-188000,0.06,-0.0,2018-04-30
B02056,RUIBANG SECURITIES LTD,0,-188000,0.0,-0.0,2018-04-30
B02052,YUZHOU FINANCIAL HOLDINGS LTD,332000,332000,0.01,0.01,2018-04-30
B02034,CHUENMAN SECURITIES LTD,0,-300000,0.0,-0.0,2018-04-30
B01975,SUPREME CHINA SECURITIES LTD,0,-300000,0.0,-0.0,2018-04-30
B01769,ONE CHINA SECURITIES LTD,134610,1000,0.0,0.0,2018-04-30
B01695,DAH SING SECURITIES LTD,4359600,-800000,0.07,-0.01,2018-04-30
B01680,SUCCESS SECURITIES LTD,200000,200000,0.0,0.0,2018-04-30
B01673,FULBRIGHT SECURITIES LTD,43000,-40000,0.0,-0.0,2018-04-30
B01610,KGI ASIA LTD,2132726,324000,0.03,0.0,2018-04-30
B01551,YUE XIU SECURITIES CO LTD,133200,-20000,0.0,-0.0,2018-04-30
B01497,SINOPAC SECURITIES (ASIA) LTD,725677680,936000,11.13,0.01,2018-04-30
B01272,FB SECURITIES (HONG KONG) LTD,120371,40000,0.0,0.0,2018-04-30
B01224,MERRILL LYNCH FAR EAST LTD,71181,-120000,0.0,-0.0,2018-04-30
B01184,CHINA TONGHAI SECURITIES LTD,32285,20000,0.0,0.0,2018-04-30
,Total changed named holdings,839420657,0,12.88,0.0,
,Unchanged named holdings,4912601190,0,75.37,0.0,
,Total named holdings,5752021847,0,88.24,0.0,
,Unnamed Investor Participants,428655,0,0.01,0.0,
,Total securities in CCASS,5752450502,0,88.25,0.0,
,Securities not in CCASS,765888450,0,11.75,0.0,
,Issued securities,6518338952,0,100.0,0.0,30-Apr-2018
