CCASS ID,Name,Holding,Change,Stake%,StakeΔ %,Lastholding
C00100,"JPMORGAN CHASE BANK, NATIONAL",1896000,28000,0.03,0.0,2017-12-11
C00058,CHINA CITIC BANK INTERNATIONAL LTD,552400,-204000,0.01,-0.0,2017-12-11
C00042,CMB WING LUNG BANK LTD,926884,-5000,0.01,-0.0,2017-12-11
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,27662334,-556000,0.42,-0.01,2017-12-11
C00033,BANK OF CHINA (HONG KONG) LTD,87488040,-88000,1.34,-0.0,2017-12-11
C00019,THE HONGKONG AND SHANGHAI BANKING,290350517,-752000,4.45,-0.01,2017-12-11
C00010,CITIBANK N.A.,28711872,-1678400,0.44,-0.03,2017-12-11
B01955,FUTU SECURITIES INTERNATIONAL,624000,24000,0.01,0.0,2017-12-11
B01948,CAITONG INTERNATIONAL SECURITIES CO LTD,0,-24000,0.0,-0.0,2017-12-11
B01890,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,6239508,448000,0.1,0.01,2017-12-11
B01882,PING AN OF CHINA SECURITIES (HONG KONG),12017539,-11092508,0.18,-0.17,2017-12-11
B01818,I-ACCESS INVESTORS LTD,174000,-32000,0.0,-0.0,2017-12-11
B01769,ONE CHINA SECURITIES LTD,135270,508,0.0,0.0,2017-12-11
B01727,ICBC (ASIA) SECURITIES LTD,4964712,348000,0.08,0.01,2017-12-11
B01715,PRESIDENT SECURITIES (HONG KONG) LTD,71468000,-396000,1.1,-0.01,2017-12-11
B01673,FULBRIGHT SECURITIES LTD,2315000,-600000,0.04,-0.01,2017-12-11
B01668,BRIGHT SMART SECURITIES INTERNATIONAL,5190400,196000,0.08,0.0,2017-12-11
B01610,KGI ASIA LTD,1592726,12000,0.02,0.0,2017-12-11
B01590,INTERACTIVE BROKERS HONG KONG LTD,2972000,4000,0.05,0.0,2017-12-11
B01514,KARL-THOMSON SECURITIES CO LTD,48400,-175000,0.0,-0.0,2017-12-11
B01508,SOUTHWEST SECURITIES (HK) BROKERAGE LTD,6165524,-500000,0.09,-0.01,2017-12-11
B01497,SINOPAC SECURITIES (ASIA) LTD,705698643,12040000,10.83,0.18,2017-12-11
B01460,BERICH BROKERAGE LTD,240000,-32000,0.0,-0.0,2017-12-11
B01355,CHINA EVERBRIGHT SECURITIES (HK) LTD,2327884,300000,0.04,0.0,2017-12-11
B01345,PHILLIP SECURITIES (HONG KONG) LTD,718514,-52000,0.01,-0.0,2017-12-11
B01323,DEUTSCHE SECURITIES ASIA LTD,712000,-4000,0.01,-0.0,2017-12-11
B01275,SANFULL SECURITIES LTD,2022571,-200000,0.03,-0.0,2017-12-11
B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,702000,574400,0.01,0.01,2017-12-11
B01228,CITIC SECURITIES BROKERAGE (HK) LTD,112913,-792000,0.0,-0.01,2017-12-11
B01224,MERRILL LYNCH FAR EAST LTD,611181,88000,0.01,0.0,2017-12-11
B01169,PUBLIC FINANCIAL SECURITIES LTD,46000,20000,0.0,0.0,2017-12-11
B01130,BOCI SECURITIES LTD,15764944,-100000,0.24,-0.0,2017-12-11
B01089,HSBC BROKING SECURITIES (HONG KONG) LTD,34680371,-100000,0.53,-0.0,2017-12-11
B01086,SUN HUNG KAI INVESTMENT SERVICES LTD,12854899,3300000,0.2,0.05,2017-12-11
,Total changed named holdings,1327987046,0,20.37,0.0,
,Unchanged named holdings,4257656888,0,65.32,0.0,
,Total named holdings,5585643934,0,85.69,0.0,
,Unnamed Investor Participants,456655,0,0.01,0.0,
,Total securities in CCASS,5586100589,0,85.7,0.0,
,Securities not in CCASS,932238363,0,14.3,0.0,
,Issued securities,6518338952,0,100.0,0.0,30-Nov-2017
