CCASS ID,Name,Holding,Change,Stake%,StakeΔ %,Lastholding
C00100,"JPMORGAN CHASE BANK, NATIONAL",24000,24000,0.0,0.0,2017-04-20
C00074,DEUTSCHE BANK AG,259538,-60000,0.0,-0.0,2017-04-20
B01959,ZHONGTAI INTERNATIONAL SECURITIES LTD,1100000,-1000000,0.02,-0.02,2017-04-20
B01929,CHINA GALAXY INTERNATIONAL SECURITIES,860000,-832000,0.01,-0.01,2017-04-20
B01901,CMB INTERNATIONAL SECURITIES LTD,24100000,-248000,0.37,-0.0,2017-04-20
B01890,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,6019508,76000,0.09,0.0,2017-04-20
B01875,GUODU SECURITIES (HONG KONG) LTD,18343000,152000,0.28,0.0,2017-04-20
B01556,LUK FOOK SECURITIES (HK) LTD,1333927,-60000,0.02,-0.0,2017-04-20
B01497,SINOPAC SECURITIES (ASIA) LTD,449665643,2020000,6.9,0.03,2017-04-20
B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,20000,20000,0.0,0.0,2017-04-20
B01416,VC BROKERAGE LTD,256000,-60000,0.0,-0.0,2017-04-20
B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,912000,-32000,0.01,-0.0,2017-04-20
,Total changed named holdings,502893616,0,7.72,0.0,
,Unchanged named holdings,5213752773,0,79.99,0.0,
,Total named holdings,5716646389,0,87.7,0.0,
,Unnamed Investor Participants,756655,0,0.01,0.0,
,Total securities in CCASS,5717403044,0,87.71,0.0,
,Securities not in CCASS,800935908,0,12.29,0.0,
,Issued securities,6518338952,0,100.0,0.0,31-Mar-2017
