CCASS ID,Name,Holding,Change,Stake%,StakeΔ %,Lastholding
B01942,SINO WEALTH SECURITIES LTD,0,-200000,0.0,-0.0,2019-04-16
B01826,GF SECURITIES (HONG KONG) BROKERAGE LTD,8102781,-4000,0.12,-0.0,2019-04-16
B01727,ICBC (ASIA) SECURITIES LTD,4187712,-12000,0.06,-0.0,2019-04-16
B01497,SINOPAC SECURITIES (ASIA) LTD,802682029,240000,12.26,0.0,2019-04-16
B01224,MERRILL LYNCH FAR EAST LTD,18581,-24000,0.0,-0.0,2019-04-16
,Total changed named holdings,814991103,0,12.45,0.0,
,Unchanged named holdings,5313177713,0,81.17,0.0,
,Total named holdings,6128168816,0,93.62,0.0,
,Unnamed Investor Participants,541655,0,0.01,0.0,
,Total securities in CCASS,6128710471,0,93.63,0.0,
,Securities not in CCASS,416910660,0,6.37,0.0,
,Issued securities,6545621131,0,100.0,0.0,31-Mar-2019
