CCASS ID,Name,Holding,Change,Stake%,StakeΔ %,Lastholding
C00093,BNP PARIBAS SECURITIES SERVICES,136200,136000,0.0,0.0,2017-11-03
C00019,THE HONGKONG AND SHANGHAI BANKING,286825717,464000,4.4,0.01,2017-11-03
C00010,CITIBANK N.A.,38433872,-168000,0.59,-0.0,2017-11-03
B02056,RUIBANG SECURITIES LTD,188000,188000,0.0,0.0,2017-11-03
B01955,FUTU SECURITIES INTERNATIONAL,548000,320000,0.01,0.0,2017-11-03
B01826,GF SECURITIES (HONG KONG) BROKERAGE LTD,10978781,32000,0.17,0.0,2017-11-03
B01716,ORIENT SECURITIES LTD,500000,500000,0.01,0.01,2017-11-03
B01668,BRIGHT SMART SECURITIES INTERNATIONAL,3858400,-48000,0.06,-0.0,2017-11-03
B01654,CHINA INTERNATIONAL CAPITAL CORPORATION,9007600,-300000,0.14,-0.0,2017-11-03
B01610,KGI ASIA LTD,1932726,364000,0.03,0.01,2017-11-03
B01607,RHB SECURITIES HONG KONG LTD,306000,300000,0.0,0.0,2017-11-03
B01556,LUK FOOK SECURITIES (HK) LTD,653927,-316000,0.01,-0.0,2017-11-03
B01497,SINOPAC SECURITIES (ASIA) LTD,676561643,-1520000,10.38,-0.02,2017-11-03
B01275,SANFULL SECURITIES LTD,1794571,-192000,0.03,-0.0,2017-11-03
B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,376000,-8000,0.01,-0.0,2017-11-03
B01143,HAITONG INTERNATIONAL SECURITIES CO LTD,33823184,32000,0.52,0.0,2017-11-03
B01115,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,10561197,216000,0.16,0.0,2017-11-03
,Total changed named holdings,1076485818,0,16.51,0.0,
,Unchanged named holdings,4508551316,0,69.17,0.0,
,Total named holdings,5585037134,0,85.68,0.0,
,Unnamed Investor Participants,1056655,0,0.02,0.0,
,Total securities in CCASS,5586093789,0,85.7,0.0,
,Securities not in CCASS,932245163,0,14.3,0.0,
,Issued securities,6518338952,0,100.0,0.0,31-Oct-2017
