CCASS ID,Name,Holding,Change,Stake%,StakeΔ %,Lastholding
C00065,HSBC PRIVATE BANK (SUISSE) SA,356812000,-16788000,4.5,-0.21,2010-04-15
C00048,CHIYU BANKING CORPORATION LTD,3542000,450000,0.04,0.01,2010-04-15
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,14218000,762000,0.18,0.01,2010-04-15
C00037,SHANGHAI COMMERCIAL BANK LTD,11274000,120000,0.14,0.0,2010-04-15
C00033,BANK OF CHINA (HONG KONG) LTD,95760000,2354000,1.21,0.03,2010-04-15
C00019,THE HONGKONG AND SHANGHAI BANKING,93470000,1130000,1.18,0.01,2010-04-15
C00015,DBS BANK (HONG KONG) LTD,1754000,100000,0.02,0.0,2010-04-15
C00002,BANK OF COMMUNICATIONS TRUSTEE LTD,13398000,246000,0.17,0.0,2010-04-15
B01863,CAPITEC SECURITIES LTD,1000000,1000000,0.01,0.01,2010-04-15
B01859,CLC SECURITIES LTD,360000,110000,0.0,0.0,2010-04-15
B01851,RICHE BRIGHT SECURITIES LTD,5000000,5000000,0.06,0.06,2010-04-15
B01850,HAI TONG SECURITIES (HK) BROKERAGE LTD,739240000,-9082000,9.32,-0.11,2010-04-15
B01843,TD KING SECURITIES LTD,1958000,34000,0.02,0.0,2010-04-15
B01842,BOCOM INTERNATIONAL SECURITIES LTD,2620000,300000,0.03,0.0,2010-04-15
B01818,I-ACCESS INVESTORS LTD,772000,98000,0.01,0.0,2010-04-15
B01789,HO FUNG SHARES INVESTMENT LTD,3004943,200000,0.04,0.0,2010-04-15
B01773,TOYO SECURITIES ASIA LTD,766000,-50000,0.01,-0.0,2010-04-15
B01769,ONE CHINA SECURITIES LTD,1300058,-300000,0.02,-0.0,2010-04-15
B01761,KO'S BROTHER SECURITIES CO LTD,834000,100000,0.01,0.0,2010-04-15
B01727,ICBC (ASIA) SECURITIES LTD,12606000,1944000,0.16,0.02,2010-04-15
B01715,PRESIDENT SECURITIES (HONG KONG) LTD,200000,200000,0.0,0.0,2010-04-15
B01696,HANTEC SECURITIES CO LTD,410000,400000,0.01,0.01,2010-04-15
B01686,FIRST SHANGHAI SECURITIES LTD,552000,-2500000,0.01,-0.03,2010-04-15
B01685,EVERGRANDE SECURITIES (HONG KONG) LTD,660000,-180000,0.01,-0.0,2010-04-15
B01676,TAI SHING STOCK INVESTMENT CO LTD,1154000,500000,0.01,0.01,2010-04-15
B01674,HONGKONG BAY SECURITIES LTD,440000,300000,0.01,0.0,2010-04-15
