CCASS ID,Name,Holding,Change,Stake%,StakeΔ %,Lastholding
C00033,BANK OF CHINA (HONG KONG) LTD,108489295,244000,1.91,0.0,2015-10-14
C00028,NANYANG COMMERCIAL BANK LTD,26751062,100000,0.47,0.0,2015-10-14
C00019,THE HONGKONG AND SHANGHAI BANKING,340003811,468000,5.98,0.01,2015-10-14
C00010,CITIBANK N.A.,53172386,-4000,0.94,-0.0,2015-10-14
B01945,INTEGRITY SECURITIES LTD,43586000,240000,0.77,0.0,2015-10-14
B01938,CHINA INDUSTRIAL SECURITIES,114366531,1000000,2.01,0.02,2015-10-14
B01826,GF SECURITIES (HONG KONG) BROKERAGE LTD,40152851,100000,0.71,0.0,2015-10-14
B01741,SINOMAX SECURITIES LTD,1864000,-2260000,0.03,-0.04,2015-10-14
B01668,BRIGHT SMART SECURITIES INTERNATIONAL,3916600,-100000,0.07,-0.0,2015-10-14
B01584,CHIEF SECURITIES LTD,6062228,-100000,0.11,-0.0,2015-10-14
B01565,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,18946314,380000,0.33,0.01,2015-10-14
B01563,HUARONG INTERNATIONAL SECURITIES LTD,465400,-200000,0.01,-0.0,2015-10-14
B01556,LUK FOOK SECURITIES (HK) LTD,3397927,-48000,0.06,-0.0,2015-10-14
B01545,TUNG SHING SECURITIES (BROKERS) LTD,1712285,20000,0.03,0.0,2015-10-14
B01497,SINOPAC SECURITIES (ASIA) LTD,114643358,208000,2.02,0.0,2015-10-14
B01345,PHILLIP SECURITIES (HONG KONG) LTD,3033072,-28000,0.05,-0.0,2015-10-14
B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,834000,276000,0.01,0.0,2015-10-14
B01224,MERRILL LYNCH FAR EAST LTD,188000,-52000,0.0,-0.0,2015-10-14
B01161,UBS SECURITIES HONG KONG LTD,2731714,216000,0.05,0.0,2015-10-14
B01143,HAITONG INTERNATIONAL SECURITIES CO LTD,48235141,-400000,0.85,-0.01,2015-10-14
B01130,BOCI SECURITIES LTD,19142744,-60000,0.34,-0.0,2015-10-14
,Total changed named holdings,951694719,0,16.74,0.0,
,Unchanged named holdings,976523128,0,17.18,0.0,
,Total named holdings,1928217847,0,33.93,0.0,
,Unnamed Investor Participants,276655,0,0.0,0.0,
,Total securities in CCASS,1928494502,0,33.93,0.0,
,Securities not in CCASS,3755140746,0,66.07,0.0,
,Issued securities,5683635248,0,100.0,0.0,12-Oct-2015
