CCASS ID,Name,Holding,Change,Stake%,StakeΔ %,Lastholding
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,25708934,332000,0.48,0.01,2015-04-20
C00033,BANK OF CHINA (HONG KONG) LTD,119381923,-1012000,2.25,-0.02,2015-04-20
C00028,NANYANG COMMERCIAL BANK LTD,23061398,284000,0.43,0.01,2015-04-20
C00019,THE HONGKONG AND SHANGHAI BANKING,380257407,-380000,7.17,-0.01,2015-04-20
C00002,BANK OF COMMUNICATIONS TRUSTEE LTD,1788362,79000,0.03,0.0,2015-04-20
B01945,INTEGRITY SECURITIES LTD,43786000,220000,0.83,0.0,2015-04-20
B01905,ESSENCE INTERNATIONAL SECURITIES,2995000,-20000,0.06,-0.0,2015-04-20
B01890,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,1827508,4000,0.03,0.0,2015-04-20
B01843,TD KING SECURITIES LTD,135000,-68000,0.0,-0.0,2015-04-20
B01826,GF SECURITIES (HONG KONG) BROKERAGE LTD,39484851,-400000,0.74,-0.01,2015-04-20
B01818,I-ACCESS INVESTORS LTD,76000,-4000,0.0,-0.0,2015-04-20
B01789,HO FUNG SHARES INVESTMENT LTD,240104,32000,0.0,0.0,2015-04-20
B01727,ICBC (ASIA) SECURITIES LTD,10308325,100000,0.19,0.0,2015-04-20
B01686,FIRST SHANGHAI SECURITIES LTD,34699139,-124000,0.65,-0.0,2015-04-20
B01685,EVERGRANDE SECURITIES (HONG KONG) LTD,1472400,204000,0.03,0.0,2015-04-20
B01497,SINOPAC SECURITIES (ASIA) LTD,75230655,220000,1.42,0.0,2015-04-20
B01447,WONDERLAND INTERNATIONAL SECURITIES LTD,21000,20000,0.0,0.0,2015-04-20
B01443,YING WAH SECURITIES CO LTD,591714,200000,0.01,0.0,2015-04-20
B01385,FAIRWIN BROKING LTD,316000,100000,0.01,0.0,2015-04-20
B01345,PHILLIP SECURITIES (HONG KONG) LTD,4377072,12000,0.08,0.0,2015-04-20
B01289,SOUTH CHINA SECURITIES LTD,233600,80000,0.0,0.0,2015-04-20
B01260,LAMTEX SECURITIES LTD,2500000,-200000,0.05,-0.0,2015-04-20
B01240,TSUN CHI YUEN SECURITIES CO LTD,1317,1000,0.0,0.0,2015-04-20
B01224,MERRILL LYNCH FAR EAST LTD,132000,-4000,0.0,-0.0,2015-04-20
B01156,CMB INTERNATIONAL GLOBAL MARKETS LTD,3856884,32000,0.07,0.0,2015-04-20
B01148,CHINA MERCHANTS SECURITIES (HK) CO LTD,6959172,100000,0.13,0.0,2015-04-20
B01143,HAITONG INTERNATIONAL SECURITIES CO LTD,32172141,300000,0.61,0.01,2015-04-20
B01130,BOCI SECURITIES LTD,11325544,-48000,0.21,-0.0,2015-04-20
B01119,CELESTIAL SECURITIES LTD,493000,-60000,0.01,-0.0,2015-04-20
,Total changed named holdings,823432450,0,15.53,0.0,
,Unchanged named holdings,546523179,0,10.31,0.0,
,Total named holdings,1369955629,0,25.83,0.0,
,Unnamed Investor Participants,296655,0,0.01,0.0,
,Total securities in CCASS,1370252284,0,25.84,0.0,
,Securities not in CCASS,3932549631,0,74.16,0.0,
,Issued securities,5302801915,0,100.0,0.0,31-Mar-2015
