CCASS ID,Name,Holding,Change,Stake%,StakeΔ %,Lastholding
B01818,I-ACCESS INVESTORS LTD,178000,-4000,0.0,-0.0,2019-04-09
B01659,CHEER UNION SECURITIES LTD,0,-52000,0.0,-0.0,2019-04-09
B01497,SINOPAC SECURITIES (ASIA) LTD,802014029,152000,12.25,0.0,2019-04-09
B01323,DEUTSCHE SECURITIES ASIA LTD,1176000,-56000,0.02,-0.0,2019-04-09
B01212,HENYEP SECURITIES LTD,692000,-40000,0.01,-0.0,2019-04-09
,Total changed named holdings,804060029,0,12.28,0.0,
,Unchanged named holdings,5324107787,0,81.34,0.0,
,Total named holdings,6128167816,0,93.62,0.0,
,Unnamed Investor Participants,541655,0,0.01,0.0,
,Total securities in CCASS,6128709471,0,93.63,0.0,
,Securities not in CCASS,416911660,0,6.37,0.0,
,Issued securities,6545621131,0,100.0,0.0,31-Mar-2019
