CCASS ID,Name,Holding,Change,Stake%,StakeΔ %,Lastholding
C00065,HSBC PRIVATE BANK (SUISSE) SA,106584000,-10840000,1.34,-0.14,2011-01-11
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,42862000,1400000,0.54,0.02,2011-01-11
C00037,SHANGHAI COMMERCIAL BANK LTD,132076000,230000,1.67,0.0,2011-01-11
C00033,BANK OF CHINA (HONG KONG) LTD,141776000,550000,1.79,0.01,2011-01-11
C00019,THE HONGKONG AND SHANGHAI BANKING,352740000,1080000,4.45,0.01,2011-01-11
C00015,DBS BANK (HONG KONG) LTD,118270000,3000000,1.49,0.04,2011-01-11
B01884,HONG KONG SECURITIES (INTERNATIONAL),500000,100000,0.01,0.0,2011-01-11
B01842,BOCOM INTERNATIONAL SECURITIES LTD,25664000,506000,0.32,0.01,2011-01-11
B01826,GF SECURITIES (HONG KONG) BROKERAGE LTD,8044000,2564000,0.1,0.03,2011-01-11
B01795,RAFFAELLO SECURITIES (HK) LTD,400000,200000,0.01,0.0,2011-01-11
B01705,HENIK SECURITIES LTD,1242000,200000,0.02,0.0,2011-01-11
B01695,DAH SING SECURITIES LTD,2662000,-300000,0.03,-0.0,2011-01-11
B01673,FULBRIGHT SECURITIES LTD,1654000,300000,0.02,0.0,2011-01-11
B01649,CINDA INTERNATIONAL SECURITIES LTD,1298000,200000,0.02,0.0,2011-01-11
B01584,CHIEF SECURITIES LTD,4164000,200000,0.05,0.0,2011-01-11
B01570,GOLDENWAY SECURITIES CO LTD,660000,100000,0.01,0.0,2011-01-11
B01540,UPBEST SECURITIES CO LTD,260000,200000,0.0,0.0,2011-01-11
B01535,WING YEE SECURITIES CO LTD,200000,200000,0.0,0.0,2011-01-11
B01514,KARL-THOMSON SECURITIES CO LTD,1846000,50000,0.02,0.0,2011-01-11
B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,180000,160000,0.0,0.0,2011-01-11
B01445,VICTORY SECURITIES CO LTD,930000,-100000,0.01,-0.0,2011-01-11
B01433,HING WAI ALLIED SECURITIES LTD,958000,328000,0.01,0.0,2011-01-11
B01416,VC BROKERAGE LTD,1730000,-240000,0.02,-0.0,2011-01-11
B01413,CORE PACIFIC - YAMAICHI INTERNATIONAL,3340000,800000,0.04,0.01,2011-01-11
B01355,CHINA EVERBRIGHT SECURITIES (HK) LTD,1430000,400000,0.02,0.01,2011-01-11
B01324,FUNDERSTONE SECURITIES LTD,3704000,-40000,0.05,-0.0,2011-01-11
B01290,SPS SECURITIES LTD,1180000,100000,0.01,0.0,2011-01-11
B01289,SOUTH CHINA SECURITIES LTD,4616000,100000,0.06,0.0,2011-01-11
B01284,HANG SENG SECURITIES LTD,61118000,3500000,0.77,0.04,2011-01-11
B01280,WING FAT SECURITIES LTD,730000,200000,0.01,0.0,2011-01-11
B01258,CHINA POINT STOCK BROKERS LTD,6060000,544000,0.08,0.01,2011-01-11
B01224,MERRILL LYNCH FAR EAST LTD,526000,-200000,0.01,-0.0,2011-01-11
B01183,CHONG HING SECURITIES LTD,11428000,110000,0.14,0.0,2011-01-11
B01156,CMB INTERNATIONAL GLOBAL MARKETS LTD,13628000,-100000,0.17,-0.0,2011-01-11
B01143,HAITONG INTERNATIONAL SECURITIES CO LTD,358660163,-6330000,4.52,-0.08,2011-01-11
B01119,CELESTIAL SECURITIES LTD,7558000,80000,0.1,0.0,2011-01-11
B01118,EAST ASIA SECURITIES CO LTD,8698000,200000,0.11,0.0,2011-01-11
B01086,SUN HUNG KAI INVESTMENT SERVICES LTD,10546000,548000,0.13,0.01,2011-01-11
,Total changed named holdings,1439922163,0,18.16,0.0,
,Unchanged named holdings,691370517,0,8.72,0.0,
,Total named holdings,2131292680,0,26.88,0.0,
,Unnamed Investor Participants,3166000,0,0.04,0.0,
,Total securities in CCASS,2134458680,0,26.92,0.0,
,Securities not in CCASS,5795708004,0,73.08,0.0,
,Issued securities,7930166684,0,100.0,0.0,31-Dec-2010
