CCASS ID,Name,Holding,Change,Stake%,StakeΔ %,Lastholding
C00093,BNP PARIBAS SECURITIES SERVICES,162200,4000,0.0,0.0,2018-07-09
C00033,BANK OF CHINA (HONG KONG) LTD,78551766,15000,1.21,0.0,2018-07-09
B01769,ONE CHINA SECURITIES LTD,1134144,1000,0.02,0.0,2018-07-09
B01762,DBS VICKERS (HONG KONG) LTD,1189914,-92000,0.02,-0.0,2018-07-09
B01497,SINOPAC SECURITIES (ASIA) LTD,623740080,156000,9.57,0.0,2018-07-09
B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,208000,-76000,0.0,-0.0,2018-07-09
B01272,FB SECURITIES (HONG KONG) LTD,76371,-8000,0.0,-0.0,2018-07-09
,Total changed named holdings,705062475,0,10.82,0.0,
,Unchanged named holdings,5457946372,0,83.73,0.0,
,Total named holdings,6163008847,0,94.55,0.0,
,Unnamed Investor Participants,441655,0,0.01,0.0,
,Total securities in CCASS,6163450502,0,94.56,0.0,
,Securities not in CCASS,354888450,0,5.44,0.0,
,Issued securities,6518338952,0,100.0,0.0,30-Jun-2018
