CCASS ID,Name,Holding,Change,Stake%,StakeΔ %,Lastholding
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,16327934,-40000,0.31,-0.0,2015-01-14
C00028,NANYANG COMMERCIAL BANK LTD,17301398,200000,0.33,0.0,2015-01-14
B01963,TFI SECURITIES AND FUTURES LTD,12000,-4000,0.0,-0.0,2015-01-14
B01891,FUTURE GROWTH FINANCIAL SERVICES LTD,0,-3000,0.0,-0.0,2015-01-14
B01843,TD KING SECURITIES LTD,159000,-8000,0.0,-0.0,2015-01-14
B01769,ONE CHINA SECURITIES LTD,1438,-1000,0.0,-0.0,2015-01-14
B01743,CEPA ALLIANCE SECURITIES LTD,492000,96000,0.01,0.0,2015-01-14
B01727,ICBC (ASIA) SECURITIES LTD,8948325,-1060000,0.17,-0.02,2015-01-14
B01497,SINOPAC SECURITIES (ASIA) LTD,132190655,660000,2.49,0.01,2015-01-14
B01086,SUN HUNG KAI INVESTMENT SERVICES LTD,12396013,160000,0.23,0.0,2015-01-14
,Total changed named holdings,187828763,0,3.54,0.0,
,Unchanged named holdings,1170919866,0,22.08,0.0,
,Total named holdings,1358748629,0,25.62,0.0,
,Unnamed Investor Participants,403655,0,0.01,0.0,
,Total securities in CCASS,1359152284,0,25.63,0.0,
,Securities not in CCASS,3943649631,0,74.37,0.0,
,Issued securities,5302801915,0,100.0,0.0,31-Dec-2014
