CCASS ID,Name,Holding,Change,Stake%,StakeΔ %,Lastholding
C00048,CHIYU BANKING CORPORATION LTD,407400,20000,0.01,0.0,2014-08-14
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,11763934,1204000,0.22,0.02,2014-08-14
C00037,SHANGHAI COMMERCIAL BANK LTD,12477998,20000,0.24,0.0,2014-08-14
C00033,BANK OF CHINA (HONG KONG) LTD,69608817,2260000,1.31,0.04,2014-08-14
C00028,NANYANG COMMERCIAL BANK LTD,8961398,40000,0.17,0.0,2014-08-14
C00019,THE HONGKONG AND SHANGHAI BANKING,182749757,-4976000,3.45,-0.09,2014-08-14
C00003,THE BANK OF EAST ASIA LTD,1401748,-1300000,0.03,-0.02,2014-08-14
C00002,BANK OF COMMUNICATIONS TRUSTEE LTD,1094362,32000,0.02,0.0,2014-08-14
B01945,INTEGRITY SECURITIES LTD,37950000,1280000,0.72,0.02,2014-08-14
B01930,PRIME COURAGE SECURITIES CO LTD,147948796,2300000,2.79,0.04,2014-08-14
B01929,CHINA GALAXY INTERNATIONAL SECURITIES,528000,88000,0.01,0.0,2014-08-14
B01853,CMBC SECURITIES CO LTD,3996,800,0.0,0.0,2014-08-14
B01826,GF SECURITIES (HONG KONG) BROKERAGE LTD,30633470,-56000,0.58,-0.0,2014-08-14
B01813,CCB INTERNATIONAL SECURITIES LTD,315800,200000,0.01,0.0,2014-08-14
B01789,HO FUNG SHARES INVESTMENT LTD,476104,128000,0.01,0.0,2014-08-14
B01777,DAIWA CAPITAL MARKETS HONG KONG LTD,57600,-800,0.0,-0.0,2014-08-14
B01727,ICBC (ASIA) SECURITIES LTD,10378325,320000,0.2,0.01,2014-08-14
B01700,REALINK FINANCIAL TRADE LTD,225600,204000,0.0,0.0,2014-08-14
B01695,DAH SING SECURITIES LTD,4535600,20000,0.09,0.0,2014-08-14
B01686,FIRST SHANGHAI SECURITIES LTD,154671139,-3340000,2.92,-0.06,2014-08-14
B01685,EVERGRANDE SECURITIES (HONG KONG) LTD,311400,60000,0.01,0.0,2014-08-14
B01668,BRIGHT SMART SECURITIES INTERNATIONAL,1161600,204000,0.02,0.0,2014-08-14
B01649,CINDA INTERNATIONAL SECURITIES LTD,871400,100000,0.02,0.0,2014-08-14
B01610,KGI ASIA LTD,1169126,100000,0.02,0.0,2014-08-14
B01584,CHIEF SECURITIES LTD,362942,40000,0.01,0.0,2014-08-14
B01491,CREDIT SUISSE SECURITIES (HONG KONG) LTD,4000,4000,0.0,0.0,2014-08-14
B01454,HAO TIAN INTERNATIONAL SECURITIES LTD,111000,100000,0.0,0.0,2014-08-14
B01355,CHINA EVERBRIGHT SECURITIES (HK) LTD,2203884,52000,0.04,0.0,2014-08-14
B01353,UOB KAY HIAN (HONG KONG) LTD,4296172,640000,0.08,0.01,2014-08-14
B01228,CITIC SECURITIES BROKERAGE (HK) LTD,15009340,12000,0.28,0.0,2014-08-14
B01224,MERRILL LYNCH FAR EAST LTD,4000,-264000,0.0,-0.0,2014-08-14
B01156,CMB INTERNATIONAL GLOBAL MARKETS LTD,1837284,140000,0.03,0.0,2014-08-14
B01148,CHINA MERCHANTS SECURITIES (HK) CO LTD,6665943,68000,0.13,0.0,2014-08-14
B01143,HAITONG INTERNATIONAL SECURITIES CO LTD,37164141,-172000,0.7,-0.0,2014-08-14
B01130,BOCI SECURITIES LTD,8236144,420000,0.16,0.01,2014-08-14
B01118,EAST ASIA SECURITIES CO LTD,1634205,52000,0.03,0.0,2014-08-14
,Total changed named holdings,757232425,0,14.28,0.0,
,Unchanged named holdings,372403725,0,7.02,0.0,
,Total named holdings,1129636150,0,21.3,0.0,
,Unnamed Investor Participants,281255,0,0.01,0.0,
,Total securities in CCASS,1129917405,0,21.31,0.0,
,Securities not in CCASS,4172884510,0,78.69,0.0,
,Issued securities,5302801915,0,100.0,0.0,31-Jul-2014
