CCASS ID,Name,Holding,Change,Stake%,StakeΔ %,Lastholding
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,61598000,726000,0.78,0.01,2011-02-14
C00037,SHANGHAI COMMERCIAL BANK LTD,129568000,190000,1.63,0.0,2011-02-14
C00033,BANK OF CHINA (HONG KONG) LTD,137846000,-22000,1.74,-0.0,2011-02-14
C00028,NANYANG COMMERCIAL BANK LTD,31468000,400000,0.4,0.01,2011-02-14
C00019,THE HONGKONG AND SHANGHAI BANKING,335710000,1550000,4.23,0.02,2011-02-14
B01901,CMB INTERNATIONAL SECURITIES LTD,4410000,130000,0.06,0.0,2011-02-14
B01890,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,326000,106000,0.0,0.0,2011-02-14
B01843,TD KING SECURITIES LTD,560000,-64000,0.01,-0.0,2011-02-14
B01842,BOCOM INTERNATIONAL SECURITIES LTD,28360000,222000,0.36,0.0,2011-02-14
B01727,ICBC (ASIA) SECURITIES LTD,6126000,150000,0.08,0.0,2011-02-14
B01695,DAH SING SECURITIES LTD,1996000,200000,0.03,0.0,2011-02-14
B01685,EVERGRANDE SECURITIES (HONG KONG) LTD,6180000,1000000,0.08,0.01,2011-02-14
B01670,BAOQIAO PARTNERS SECURITIES (HK) LTD,400000,200000,0.01,0.0,2011-02-14
B01668,BRIGHT SMART SECURITIES INTERNATIONAL,2276000,-240000,0.03,-0.0,2011-02-14
B01633,ENLIGHTEN SECURITIES LTD,8670000,400000,0.11,0.01,2011-02-14
B01607,RHB SECURITIES HONG KONG LTD,5208000,-2920000,0.07,-0.04,2011-02-14
B01599,POLARIS SECURITIES (HONG KONG) LTD,23416000,586000,0.3,0.01,2011-02-14
B01590,INTERACTIVE BROKERS HONG KONG LTD,262000,62000,0.0,0.0,2011-02-14
B01585,SINO GRADE SECURITIES LTD,1824000,-200000,0.02,-0.0,2011-02-14
B01566,K.K.M. SECURITIES LTD,100000,100000,0.0,0.0,2011-02-14
B01565,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,8788000,10000,0.11,0.0,2011-02-14
B01563,HUARONG INTERNATIONAL SECURITIES LTD,1736000,-100000,0.02,-0.0,2011-02-14
B01545,TUNG SHING SECURITIES (BROKERS) LTD,9400000,100000,0.12,0.0,2011-02-14
B01514,KARL-THOMSON SECURITIES CO LTD,3510000,240000,0.04,0.0,2011-02-14
B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,300000,-16000,0.0,-0.0,2011-02-14
B01423,PRUDENTIAL BROKERAGE LTD,3868000,-100000,0.05,-0.0,2011-02-14
B01416,VC BROKERAGE LTD,1430000,200000,0.02,0.0,2011-02-14
B01355,CHINA EVERBRIGHT SECURITIES (HK) LTD,2336000,100000,0.03,0.0,2011-02-14
B01353,UOB KAY HIAN (HONG KONG) LTD,2828000,30000,0.04,0.0,2011-02-14
B01324,FUNDERSTONE SECURITIES LTD,3350000,-200000,0.04,-0.0,2011-02-14
B01284,HANG SENG SECURITIES LTD,58466000,80000,0.74,0.0,2011-02-14
B01266,PREMIER Q SECURITIES LTD,61646000,1590000,0.78,0.02,2011-02-14
B01264,KIM ENG SECURITIES (HONG KONG) LTD,6390000,900000,0.08,0.01,2011-02-14
B01228,CITIC SECURITIES BROKERAGE (HK) LTD,6200000,100000,0.08,0.0,2011-02-14
B01183,CHONG HING SECURITIES LTD,9538000,30000,0.12,0.0,2011-02-14
B01148,CHINA MERCHANTS SECURITIES (HK) CO LTD,161380000,-3268000,2.04,-0.04,2011-02-14
B01143,HAITONG INTERNATIONAL SECURITIES CO LTD,291007663,-3374000,3.67,-0.04,2011-02-14
B01130,BOCI SECURITIES LTD,70672000,922000,0.89,0.01,2011-02-14
B01086,SUN HUNG KAI INVESTMENT SERVICES LTD,12204000,180000,0.15,0.0,2011-02-14
,Total changed named holdings,1501353663,0,18.93,0.0,
,Unchanged named holdings,630185017,0,7.95,0.0,
,Total named holdings,2131538680,0,26.88,0.0,
,Unnamed Investor Participants,3020000,0,0.04,0.0,
,Total securities in CCASS,2134558680,0,26.92,0.0,
,Securities not in CCASS,5795608004,0,73.08,0.0,
,Issued securities,7930166684,0,100.0,0.0,31-Jan-2011
