CCASS ID,Name,Holding,Change,Stake%,StakeΔ %,Lastholding
C00100,"JPMORGAN CHASE BANK, NATIONAL",84000,8000,0.0,0.0,2017-01-13
C00041,OCBC WING HANG BANK LTD,356286,-2400,0.01,-0.0,2017-01-13
C00036,CHINA CONSTRUCTION BANK (ASIA),17920670,-500000,0.32,-0.01,2017-01-13
C00033,BANK OF CHINA (HONG KONG) LTD,98762387,-184000,1.74,-0.0,2017-01-13
B01938,CHINA INDUSTRIAL SECURITIES,161482531,-76000,2.84,-0.0,2017-01-13
B01866,ICBC INTERNATIONAL SECURITIES LTD,0,-376000,0.0,-0.01,2017-01-13
B01842,BOCOM INTERNATIONAL SECURITIES LTD,50398284,120000,0.89,0.0,2017-01-13
B01769,ONE CHINA SECURITIES LTD,335940,3400,0.01,0.0,2017-01-13
B01686,FIRST SHANGHAI SECURITIES LTD,8891139,-500000,0.16,-0.01,2017-01-13
B01497,SINOPAC SECURITIES (ASIA) LTD,315695358,1784000,5.55,0.03,2017-01-13
B01491,CREDIT SUISSE SECURITIES (HONG KONG) LTD,792000,-8000,0.01,-0.0,2017-01-13
B01272,FB SECURITIES (HONG KONG) LTD,77971,-1000,0.0,-0.0,2017-01-13
B01224,MERRILL LYNCH FAR EAST LTD,60281,-20000,0.0,-0.0,2017-01-13
B01169,PUBLIC FINANCIAL SECURITIES LTD,32894,-80000,0.0,-0.0,2017-01-13
B01143,HAITONG INTERNATIONAL SECURITIES CO LTD,43027584,-168000,0.76,-0.0,2017-01-13
,Total changed named holdings,697917325,0,12.28,0.0,
,Unchanged named holdings,4203536558,0,73.96,0.0,
,Total named holdings,4901453883,0,86.24,0.0,
,Unnamed Investor Participants,756655,0,0.01,0.0,
,Total securities in CCASS,4902210538,0,86.25,0.0,
,Securities not in CCASS,781424710,0,13.75,0.0,
,Issued securities,5683635248,0,100.0,0.0,31-Dec-2016
