CCASS ID,Name,Holding,Change,Stake%,StakeΔ %,Lastholding
C00093,BNP PARIBAS SECURITIES SERVICES,88200,-4000,0.0,-0.0,2017-01-09
C00042,CMB WING LUNG BANK LTD,1761884,12000,0.03,0.0,2017-01-09
C00033,BANK OF CHINA (HONG KONG) LTD,99393587,-64000,1.75,-0.0,2017-01-09
C00019,THE HONGKONG AND SHANGHAI BANKING,281884317,-1596000,4.96,-0.03,2017-01-09
B01842,BOCOM INTERNATIONAL SECURITIES LTD,50522284,320000,0.89,0.01,2017-01-09
B01712,WAH SANG SECURITIES LTD,300000,100000,0.01,0.0,2017-01-09
B01590,INTERACTIVE BROKERS HONG KONG LTD,100000,100000,0.0,0.0,2017-01-09
B01556,LUK FOOK SECURITIES (HK) LTD,3393927,-4000,0.06,-0.0,2017-01-09
B01497,SINOPAC SECURITIES (ASIA) LTD,305823358,600000,5.38,0.01,2017-01-09
B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,200000,60000,0.0,0.0,2017-01-09
B01224,MERRILL LYNCH FAR EAST LTD,333100,176000,0.01,0.0,2017-01-09
B01089,HSBC BROKING SECURITIES (HONG KONG) LTD,15097771,300000,0.27,0.01,2017-01-09
,Total changed named holdings,758898428,0,13.35,0.0,
,Unchanged named holdings,4142555455,0,72.89,0.0,
,Total named holdings,4901453883,0,86.24,0.0,
,Unnamed Investor Participants,756655,0,0.01,0.0,
,Total securities in CCASS,4902210538,0,86.25,0.0,
,Securities not in CCASS,781424710,0,13.75,0.0,
,Issued securities,5683635248,0,100.0,0.0,31-Dec-2016
