CCASS ID,Name,Holding,Change,Stake%,StakeΔ %,Lastholding
C00091,BANK OF SINGAPORE LTD,1000000,1000000,0.01,0.01,2010-01-11
C00041,OCBC WING HANG BANK LTD,4698000,-400000,0.06,-0.58,2010-01-11
C00040,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,164000,-20000,0.0,-0.02,2010-01-11
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,6960000,1846000,0.09,-0.56,2010-01-11
C00037,SHANGHAI COMMERCIAL BANK LTD,9428000,100000,0.12,-1.06,2010-01-11
C00033,BANK OF CHINA (HONG KONG) LTD,75762000,1130000,0.96,-8.46,2010-01-11
C00028,NANYANG COMMERCIAL BANK LTD,3670000,178000,0.05,-0.39,2010-01-11
C00019,THE HONGKONG AND SHANGHAI BANKING,53810000,442000,0.68,-6.05,2010-01-11
C00002,BANK OF COMMUNICATIONS TRUSTEE LTD,11302000,-2000,0.14,-1.28,2010-01-11
B01868,JIMEI SECURITIES LTD,300000,300000,0.0,0.0,2010-01-11
B01842,BOCOM INTERNATIONAL SECURITIES LTD,2700000,-200000,0.03,-0.33,2010-01-11
B01825,GUOYUAN SECURITIES BROKERAGE (HONG KONG),72000,-1400000,0.0,-0.18,2010-01-11
B01818,I-ACCESS INVESTORS LTD,304000,40000,0.0,-0.03,2010-01-11
B01814,WELL LINK SECURITIES LTD,2752000,1100000,0.03,-0.17,2010-01-11
B01780,TUNG SHUN SECURITIES LTD,314000,-240000,0.0,-0.07,2010-01-11
B01771,CVP SECURITIES LTD,210000,200000,0.0,0.0,2010-01-11
B01769,ONE CHINA SECURITIES LTD,130058,20000,0.0,-0.01,2010-01-11
B01761,KO'S BROTHER SECURITIES CO LTD,384000,-250000,0.0,-0.08,2010-01-11
B01743,CEPA ALLIANCE SECURITIES LTD,2244000,-1038000,0.03,-0.39,2010-01-11
B01731,SHUN HENG SECURITIES LTD,570000,40000,0.01,-0.06,2010-01-11
B01727,ICBC (ASIA) SECURITIES LTD,6196000,60000,0.08,-0.7,2010-01-11
B01722,CTW SECURITIES LTD,0,-100000,0.0,-0.01,2010-01-11
B01700,REALINK FINANCIAL TRADE LTD,442000,50000,0.01,-0.04,2010-01-11
B01668,BRIGHT SMART SECURITIES INTERNATIONAL,1334000,160000,0.02,-0.13,2010-01-11
