CCASS ID,Name,Holding,Change,Stake%,StakeΔ %,Lastholding
C00100,"JPMORGAN CHASE BANK, NATIONAL",152000,12000,0.0,0.0,2017-08-08
C00033,BANK OF CHINA (HONG KONG) LTD,94721787,20000,1.45,0.0,2017-08-08
C00019,THE HONGKONG AND SHANGHAI BANKING,268976717,51000,4.13,0.0,2017-08-08
C00010,CITIBANK N.A.,41259872,-20000,0.63,-0.0,2017-08-08
B02034,CHUENMAN SECURITIES LTD,0,-300000,0.0,-0.0,2017-08-08
B01948,CAITONG INTERNATIONAL SECURITIES CO LTD,0,-216000,0.0,-0.0,2017-08-08
B01945,INTEGRITY SECURITIES LTD,42110000,-484000,0.65,-0.01,2017-08-08
B01938,CHINA INDUSTRIAL SECURITIES,604082235,312000,9.27,0.0,2017-08-08
B01818,I-ACCESS INVESTORS LTD,146000,-92000,0.0,-0.0,2017-08-08
B01816,CHEONG LEE SECURITIES LTD,452000,452000,0.01,0.01,2017-08-08
B01769,ONE CHINA SECURITIES LTD,133708,1000,0.0,0.0,2017-08-08
B01715,PRESIDENT SECURITIES (HONG KONG) LTD,80000000,-72000,1.23,-0.0,2017-08-08
B01680,SUCCESS SECURITIES LTD,0,-180000,0.0,-0.0,2017-08-08
B01668,BRIGHT SMART SECURITIES INTERNATIONAL,2942600,180000,0.05,0.0,2017-08-08
B01607,RHB SECURITIES HONG KONG LTD,106000,-240000,0.0,-0.0,2017-08-08
B01497,SINOPAC SECURITIES (ASIA) LTD,429257643,624000,6.59,0.01,2017-08-08
B01323,DEUTSCHE SECURITIES ASIA LTD,216000,8000,0.0,0.0,2017-08-08
B01115,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,10599197,-56000,0.16,-0.0,2017-08-08
,Total changed named holdings,1575155759,0,24.16,0.0,
,Unchanged named holdings,4119713375,0,63.2,0.0,
,Total named holdings,5694869134,0,87.37,0.0,
,Unnamed Investor Participants,1156655,0,0.02,0.0,
,Total securities in CCASS,5696025789,0,87.38,0.0,
,Securities not in CCASS,822313163,0,12.62,0.0,
,Issued securities,6518338952,0,100.0,0.0,31-Jul-2017
