CCASS ID,Name,Holding,Change,Stake%,StakeΔ %,Lastholding
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,12253934,28000,0.23,0.0,2014-12-09
C00033,BANK OF CHINA (HONG KONG) LTD,83877323,80000,1.58,0.0,2014-12-09
C00019,THE HONGKONG AND SHANGHAI BANKING,334012737,1580000,6.3,0.03,2014-12-09
B01853,CMBC SECURITIES CO LTD,2681,-3000,0.0,-0.0,2014-12-09
B01842,BOCOM INTERNATIONAL SECURITIES LTD,4248284,-1204000,0.08,-0.02,2014-12-09
B01826,GF SECURITIES (HONG KONG) BROKERAGE LTD,39408851,-476000,0.74,-0.01,2014-12-09
B01686,FIRST SHANGHAI SECURITIES LTD,146251139,-688000,2.76,-0.01,2014-12-09
B01497,SINOPAC SECURITIES (ASIA) LTD,127098655,96000,2.4,0.0,2014-12-09
B01284,HANG SENG SECURITIES LTD,21674467,352000,0.41,0.01,2014-12-09
B01156,CMB INTERNATIONAL GLOBAL MARKETS LTD,3344284,75000,0.06,0.0,2014-12-09
B01143,HAITONG INTERNATIONAL SECURITIES CO LTD,32796141,160000,0.62,0.0,2014-12-09
,Total changed named holdings,804968496,0,15.18,0.0,
,Unchanged named holdings,554882533,0,10.46,0.0,
,Total named holdings,1359851029,0,25.64,0.0,
,Unnamed Investor Participants,401255,0,0.01,0.0,
,Total securities in CCASS,1360252284,0,25.65,0.0,
,Securities not in CCASS,3942549631,0,74.35,0.0,
,Issued securities,5302801915,0,100.0,0.0,30-Nov-2014
