CCASS ID,Name,Holding,Change,Stake%,StakeΔ %,Lastholding
C00065,HSBC PRIVATE BANK (SUISSE) SA,373600000,-200000,4.71,-0.0,2010-03-16
C00060,THE ROYAL BANK OF SCOTLAND N.V.,6700000,1000000,0.08,0.01,2010-03-16
C00048,CHIYU BANKING CORPORATION LTD,4070000,328000,0.05,0.0,2010-03-16
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,12232000,2810000,0.15,0.04,2010-03-16
C00037,SHANGHAI COMMERCIAL BANK LTD,8134000,-50000,0.1,-0.0,2010-03-16
C00036,CHINA CONSTRUCTION BANK (ASIA),832000,-50000,0.01,-0.0,2010-03-16
C00033,BANK OF CHINA (HONG KONG) LTD,78608000,476000,0.99,0.01,2010-03-16
C00028,NANYANG COMMERCIAL BANK LTD,3508000,370000,0.04,0.0,2010-03-16
C00019,THE HONGKONG AND SHANGHAI BANKING,82294000,1124000,1.04,0.01,2010-03-16
C00002,BANK OF COMMUNICATIONS TRUSTEE LTD,12324000,450000,0.16,0.01,2010-03-16
B01868,JIMEI SECURITIES LTD,1650000,192000,0.02,0.0,2010-03-16
B01863,CAPITEC SECURITIES LTD,0,-1000000,0.0,-0.01,2010-03-16
B01850,HAI TONG SECURITIES (HK) BROKERAGE LTD,807502000,-7114000,10.18,-0.09,2010-03-16
B01843,TD KING SECURITIES LTD,474000,4000,0.01,0.0,2010-03-16
B01842,BOCOM INTERNATIONAL SECURITIES LTD,2720000,-300000,0.03,-0.0,2010-03-16
B01818,I-ACCESS INVESTORS LTD,456000,-32000,0.01,-0.0,2010-03-16
B01814,WELL LINK SECURITIES LTD,2200000,200000,0.03,0.0,2010-03-16
B01789,HO FUNG SHARES INVESTMENT LTD,1254943,600000,0.02,0.01,2010-03-16
B01769,ONE CHINA SECURITIES LTD,200058,-1000000,0.0,-0.01,2010-03-16
B01768,WINTONE SECURITIES LTD,0,-500000,0.0,-0.01,2010-03-16
B01762,DBS VICKERS (HONG KONG) LTD,3776000,1000000,0.05,0.01,2010-03-16
B01745,EVERGREEN SECURITIES LTD,3600000,800000,0.05,0.01,2010-03-16
B01731,SHUN HENG SECURITIES LTD,880000,100000,0.01,0.0,2010-03-16
B01727,ICBC (ASIA) SECURITIES LTD,5072000,-130000,0.06,-0.0,2010-03-16
B01705,HENIK SECURITIES LTD,852000,-100000,0.01,-0.0,2010-03-16
B01700,REALINK FINANCIAL TRADE LTD,1386000,100000,0.02,0.0,2010-03-16
B01685,EVERGRANDE SECURITIES (HONG KONG) LTD,340000,100000,0.0,0.0,2010-03-16
B01678,GLS SECURITIES LTD,600000,100000,0.01,0.0,2010-03-16
B01673,FULBRIGHT SECURITIES LTD,18950000,620000,0.24,0.01,2010-03-16
B01666,GLORY SUN SECURITIES LTD,938000,-600000,0.01,-0.01,2010-03-16
B01649,CINDA INTERNATIONAL SECURITIES LTD,1288000,200000,0.02,0.0,2010-03-16
B01636,BUSINESS SECURITIES LTD,9610000,250000,0.12,0.0,2010-03-16
B01610,KGI ASIA LTD,6074000,-296000,0.08,-0.0,2010-03-16
B01606,EWARTON SECURITIES LTD,100000,-100000,0.0,-0.0,2010-03-16
B01605,ESSENCE INTERNATIONAL FINANCIAL HOLDINGS,830000,200000,0.01,0.0,2010-03-16
B01599,POLARIS SECURITIES (HONG KONG) LTD,3314000,-2016000,0.04,-0.03,2010-03-16
B01588,LEI SHING HONG SECURITIES LTD,320000,100000,0.0,0.0,2010-03-16
B01584,CHIEF SECURITIES LTD,3810000,270000,0.05,0.0,2010-03-16
B01567,PRIME SECURITIES LTD,100000,100000,0.0,0.0,2010-03-16
