CCASS ID,Name,Holding,Change,Stake%,StakeΔ %,Lastholding
C00088,CHINA MERCHANTS BANK CO LTD,7564343,16000,0.74,0.0,2013-07-19
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,10738534,40000,1.05,0.0,2013-07-19
C00037,SHANGHAI COMMERCIAL BANK LTD,14198598,-424000,1.39,-0.04,2013-07-19
C00033,BANK OF CHINA (HONG KONG) LTD,55735731,120000,5.47,0.01,2013-07-19
C00019,THE HONGKONG AND SHANGHAI BANKING,68917113,84000,6.76,0.01,2013-07-19
C00002,BANK OF COMMUNICATIONS TRUSTEE LTD,1349362,320000,0.13,0.03,2013-07-19
B01905,ESSENCE INTERNATIONAL SECURITIES,1761000,380000,0.17,0.04,2013-07-19
B01875,GUODU SECURITIES (HONG KONG) LTD,199000,-1200000,0.02,-0.12,2013-07-19
B01785,PARTNERS CAPITAL SECURITIES LTD,0,-1000,0.0,-0.0,2013-07-19
B01727,ICBC (ASIA) SECURITIES LTD,15578925,124000,1.53,0.01,2013-07-19
B01700,REALINK FINANCIAL TRADE LTD,121600,100000,0.01,0.01,2013-07-19
B01668,BRIGHT SMART SECURITIES INTERNATIONAL,136600,4000,0.01,0.0,2013-07-19
B01545,TUNG SHING SECURITIES (BROKERS) LTD,408485,100000,0.04,0.01,2013-07-19
B01525,KEE CHEONG SECURITIES CO LTD,6000,6000,0.0,0.0,2013-07-19
B01497,SINOPAC SECURITIES (ASIA) LTD,123000,120000,0.01,0.01,2013-07-19
B01491,CREDIT SUISSE SECURITIES (HONG KONG) LTD,4000,4000,0.0,0.0,2013-07-19
B01353,UOB KAY HIAN (HONG KONG) LTD,1907372,160000,0.19,0.02,2013-07-19
B01300,OCBC SECURITIES (HONG KONG) LTD,155000,40000,0.02,0.0,2013-07-19
B01284,HANG SENG SECURITIES LTD,8123752,-8000,0.8,-0.0,2013-07-19
B01265,OCBC WING HANG SHARES BROKERAGE CO. LTD,0,-38000,0.0,-0.0,2013-07-19
B01264,KIM ENG SECURITIES (HONG KONG) LTD,1845000,1000,0.18,0.0,2013-07-19
B01228,CITIC SECURITIES BROKERAGE (HK) LTD,2410505,40000,0.24,0.0,2013-07-19
B01220,WING ON CHEONG SECURITIES CO LTD,125000,28000,0.01,0.0,2013-07-19
B01166,KING FOOK SECURITIES CO LTD,6400,-36000,0.0,-0.0,2013-07-19
B01161,UBS SECURITIES HONG KONG LTD,44000,-8000,0.0,-0.0,2013-07-19
B01118,EAST ASIA SECURITIES CO LTD,617541,28000,0.06,0.0,2013-07-19
,Total changed named holdings,192076861,0,18.84,0.0,
,Unchanged named holdings,187950543,0,18.43,0.0,
,Total named holdings,380027404,0,37.27,0.0,
,Unnamed Investor Participants,321255,0,0.03,0.0,
,Total securities in CCASS,380348659,0,37.3,0.0,
,Securities not in CCASS,639244199,0,62.7,0.0,
,Issued securities,1019592858,0,100.0,0.0,30-Jun-2013
