CCASS ID,Name,Holding,Change,Stake%,StakeΔ %,Lastholding
C00100,"JPMORGAN CHASE BANK, NATIONAL",212200,-44000,0.0,-0.0,2015-09-17
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,29840934,208000,0.56,0.0,2015-09-17
C00033,BANK OF CHINA (HONG KONG) LTD,108971295,-8000,2.05,-0.0,2015-09-17
C00028,NANYANG COMMERCIAL BANK LTD,26663062,-440000,0.5,-0.01,2015-09-17
C00019,THE HONGKONG AND SHANGHAI BANKING,355700160,144000,6.71,0.0,2015-09-17
B01939,SOOCHOW SECURITIES INTERNATIONAL,150000,52000,0.0,0.0,2015-09-17
B01938,CHINA INDUSTRIAL SECURITIES,108002531,616000,2.04,0.01,2015-09-17
B01842,BOCOM INTERNATIONAL SECURITIES LTD,5492284,-20000,0.1,-0.0,2015-09-17
B01720,NORMAN KONG SECURITIES CO LTD,5000,-200000,0.0,-0.0,2015-09-17
B01685,EVERGRANDE SECURITIES (HONG KONG) LTD,156400,-28000,0.0,-0.0,2015-09-17
B01584,CHIEF SECURITIES LTD,5854228,100000,0.11,0.0,2015-09-17
B01497,SINOPAC SECURITIES (ASIA) LTD,97647009,640000,1.84,0.01,2015-09-17
B01458,YICKO SECURITIES LTD,688000,-80000,0.01,-0.0,2015-09-17
B01447,WONDERLAND INTERNATIONAL SECURITIES LTD,41000,-60000,0.0,-0.0,2015-09-17
B01284,HANG SENG SECURITIES LTD,39464582,396000,0.74,0.01,2015-09-17
B01272,FB SECURITIES (HONG KONG) LTD,1712971,-1632000,0.03,-0.03,2015-09-17
B01212,HENYEP SECURITIES LTD,2624000,100000,0.05,0.0,2015-09-17
B01156,CMB INTERNATIONAL GLOBAL MARKETS LTD,3105884,256000,0.06,0.0,2015-09-17
,Total changed named holdings,786331540,0,14.83,0.0,
,Unchanged named holdings,808552974,0,15.25,0.0,
,Total named holdings,1594884514,0,30.08,0.0,
,Unnamed Investor Participants,276655,0,0.01,0.0,
,Total securities in CCASS,1595161169,0,30.08,0.0,
,Securities not in CCASS,3707640746,0,69.92,0.0,
,Issued securities,5302801915,0,100.0,0.0,31-Aug-2015
