CCASS ID,Name,Holding,Change,Stake%,StakeΔ %,Lastholding
C00019,THE HONGKONG AND SHANGHAI BANKING,267900717,-976000,4.11,-0.01,2017-08-10
C00010,CITIBANK N.A.,41139872,-120000,0.63,-0.0,2017-08-10
B02037,EASY ONE SECURITIES LTD,0,-316000,0.0,-0.0,2017-08-10
B01959,ZHONGTAI INTERNATIONAL SECURITIES LTD,200000,200000,0.0,0.0,2017-08-10
B01955,FUTU SECURITIES INTERNATIONAL,256000,168000,0.0,0.0,2017-08-10
B01938,CHINA INDUSTRIAL SECURITIES,604074235,504000,9.27,0.01,2017-08-10
B01927,KINGKEY SECURITIES GROUP LTD,600000,-28000,0.01,-0.0,2017-08-10
B01715,PRESIDENT SECURITIES (HONG KONG) LTD,80000000,-200000,1.23,-0.0,2017-08-10
B01607,RHB SECURITIES HONG KONG LTD,222000,-128000,0.0,-0.0,2017-08-10
B01556,LUK FOOK SECURITIES (HK) LTD,1229927,-36000,0.02,-0.0,2017-08-10
B01497,SINOPAC SECURITIES (ASIA) LTD,429997643,604000,6.6,0.01,2017-08-10
B01323,DEUTSCHE SECURITIES ASIA LTD,224000,8000,0.0,0.0,2017-08-10
B01115,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,10923197,320000,0.17,0.0,2017-08-10
,Total changed named holdings,1436767591,0,22.04,0.0,
,Unchanged named holdings,4258101543,0,65.32,0.0,
,Total named holdings,5694869134,0,87.37,0.0,
,Unnamed Investor Participants,1156655,0,0.02,0.0,
,Total securities in CCASS,5696025789,0,87.38,0.0,
,Securities not in CCASS,822313163,0,12.62,0.0,
,Issued securities,6518338952,0,100.0,0.0,31-Jul-2017
