CCASS ID,Name,Holding,Change,Stake%,StakeΔ %,Lastholding
C00041,OCBC WING HANG BANK LTD,6520000,200000,0.08,0.0,2010-07-23
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,22440000,92000,0.28,0.0,2010-07-23
C00033,BANK OF CHINA (HONG KONG) LTD,120772000,110000,1.52,0.0,2010-07-23
C00019,THE HONGKONG AND SHANGHAI BANKING,141364000,72000,1.78,0.0,2010-07-23
C00015,DBS BANK (HONG KONG) LTD,100168000,40000,1.26,0.0,2010-07-23
C00002,BANK OF COMMUNICATIONS TRUSTEE LTD,33790000,-204000,0.43,-0.0,2010-07-23
B01858,YUANTA SECURITIES (HONG KONG) CO LTD,70000,2000,0.0,0.0,2010-07-23
B01818,I-ACCESS INVESTORS LTD,1690000,-2000,0.02,-0.0,2010-07-23
B01777,DAIWA CAPITAL MARKETS HONG KONG LTD,1168000,-4000,0.01,-0.0,2010-07-23
B01714,HEAD & SHOULDERS SECURITIES LTD,40000,40000,0.0,0.0,2010-07-23
B01705,HENIK SECURITIES LTD,2242000,300000,0.03,0.0,2010-07-23
B01610,KGI ASIA LTD,23072000,2180000,0.29,0.03,2010-07-23
B01607,RHB SECURITIES HONG KONG LTD,39106000,2990000,0.49,0.04,2010-07-23
B01599,POLARIS SECURITIES (HONG KONG) LTD,4530000,500000,0.06,0.01,2010-07-23
B01584,CHIEF SECURITIES LTD,7196000,200000,0.09,0.0,2010-07-23
B01284,HANG SENG SECURITIES LTD,65416000,-300000,0.82,-0.0,2010-07-23
B01266,PREMIER Q SECURITIES LTD,53166000,-5144000,0.67,-0.06,2010-07-23
B01228,CITIC SECURITIES BROKERAGE (HK) LTD,15226000,238000,0.19,0.0,2010-07-23
B01192,SEEKERS MARKETS LTD,0,-40000,0.0,-0.0,2010-07-23
B01156,CMB INTERNATIONAL GLOBAL MARKETS LTD,17632000,-30000,0.22,-0.0,2010-07-23
B01143,HAITONG INTERNATIONAL SECURITIES CO LTD,711948163,-100000,8.98,-0.0,2010-07-23
B01130,BOCI SECURITIES LTD,61954000,200000,0.78,0.0,2010-07-23
B01118,EAST ASIA SECURITIES CO LTD,11198000,-1340000,0.14,-0.02,2010-07-23
,Total changed named holdings,1440708163,0,18.17,0.0,
,Unchanged named holdings,684409478,0,8.63,0.0,
,Total named holdings,2125117641,0,26.8,0.0,
,Unnamed Investor Participants,10482000,0,0.13,0.0,
,Total securities in CCASS,2135599641,0,26.93,0.0,
,Securities not in CCASS,5794567043,0,73.07,0.0,
,Issued securities,7930166684,0,100.0,0.0,30-Jun-2010
