CCASS ID,Name,Holding,Change,Stake%,StakeΔ %,Lastholding
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,10096400,8000,1.27,0.0,2011-10-03
C00033,BANK OF CHINA (HONG KONG) LTD,20456600,160000,2.58,0.02,2011-10-03
C00019,THE HONGKONG AND SHANGHAI BANKING,48236450,-412000,6.08,-0.05,2011-10-03
B01686,FIRST SHANGHAI SECURITIES LTD,3954000,156000,0.5,0.02,2011-10-03
B01684,WING ON SECURITIES LTD,0,-10000,0.0,-0.0,2011-10-03
B01228,CITIC SECURITIES BROKERAGE (HK) LTD,1323400,112000,0.17,0.01,2011-10-03
B01148,CHINA MERCHANTS SECURITIES (HK) CO LTD,4200200,68000,0.53,0.01,2011-10-03
B01143,HAITONG INTERNATIONAL SECURITIES CO LTD,106078000,-72000,13.38,-0.01,2011-10-03
B01130,BOCI SECURITIES LTD,8254600,-10000,1.04,-0.0,2011-10-03
,Total changed named holdings,202599650,0,25.55,0.0,
,Unchanged named holdings,138735818,0,17.49,0.0,
,Total named holdings,341335468,0,43.04,0.0,
,Unnamed Investor Participants,308800,0,0.04,0.0,
,Total securities in CCASS,341644268,0,43.08,0.0,
,Securities not in CCASS,451372400,0,56.92,0.0,
,Issued securities,793016668,0,100.0,0.0,30-Sep-2011
