CCASS ID,Name,Holding,Change,Stake%,StakeΔ %,Lastholding
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,10488285,-322800,1.03,-0.03,2012-06-21
C00037,SHANGHAI COMMERCIAL BANK LTD,12517855,-4000,1.23,-0.0,2012-06-21
C00033,BANK OF CHINA (HONG KONG) LTD,29537964,500000,2.9,0.05,2012-06-21
C00019,THE HONGKONG AND SHANGHAI BANKING,54921946,784000,5.39,0.08,2012-06-21
C00010,CITIBANK N.A.,4357728,-478657,0.43,-0.05,2012-06-21
C00002,BANK OF COMMUNICATIONS TRUSTEE LTD,1585362,-12000,0.16,-0.0,2012-06-21
B01890,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,1014108,-200000,0.1,-0.02,2012-06-21
B01769,ONE CHINA SECURITIES LTD,3927,1457,0.0,0.0,2012-06-21
B01668,BRIGHT SMART SECURITIES INTERNATIONAL,360800,40000,0.04,0.0,2012-06-21
B01610,KGI ASIA LTD,1225126,100000,0.12,0.01,2012-06-21
B01497,SINOPAC SECURITIES (ASIA) LTD,7568000,-40000,0.74,-0.0,2012-06-21
B01423,PRUDENTIAL BROKERAGE LTD,2191010,-772000,0.21,-0.08,2012-06-21
B01284,HANG SENG SECURITIES LTD,6930776,-108000,0.68,-0.01,2012-06-21
B01272,FB SECURITIES (HONG KONG) LTD,262971,4000,0.03,0.0,2012-06-21
B01228,CITIC SECURITIES BROKERAGE (HK) LTD,2586505,-56000,0.25,-0.01,2012-06-21
B01143,HAITONG INTERNATIONAL SECURITIES CO LTD,76719433,-244000,7.52,-0.02,2012-06-21
B01130,BOCI SECURITIES LTD,7941344,808000,0.78,0.08,2012-06-21
,Total changed named holdings,220213140,0,21.6,0.0,
,Unchanged named holdings,155688178,0,15.27,0.0,
,Total named holdings,375901318,0,36.87,0.0,
,Unnamed Investor Participants,4413231,0,0.43,0.0,
,Total securities in CCASS,380314549,0,37.3,0.0,
,Securities not in CCASS,639278309,0,62.7,0.0,
,Issued securities,1019592858,0,100.0,0.0,31-May-2012
