CCASS ID,Name,Holding,Change,Stake%,StakeΔ %,Lastholding
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,18672934,40000,0.35,0.0,2015-02-12
C00033,BANK OF CHINA (HONG KONG) LTD,85047323,-120000,1.6,-0.0,2015-02-12
C00028,NANYANG COMMERCIAL BANK LTD,20425398,40000,0.39,0.0,2015-02-12
C00019,THE HONGKONG AND SHANGHAI BANKING,322092737,-600000,6.07,-0.01,2015-02-12
B01842,BOCOM INTERNATIONAL SECURITIES LTD,3968284,1160000,0.07,0.02,2015-02-12
B01762,DBS VICKERS (HONG KONG) LTD,1635714,-120000,0.03,-0.0,2015-02-12
B01686,FIRST SHANGHAI SECURITIES LTD,125667139,89128000,2.37,1.68,2015-02-12
B01668,BRIGHT SMART SECURITIES INTERNATIONAL,3013600,100000,0.06,0.0,2015-02-12
B01551,YUE XIU SECURITIES CO LTD,117200,-12000,0.0,-0.0,2015-02-12
B01413,CORE PACIFIC - YAMAICHI INTERNATIONAL,64200,20000,0.0,0.0,2015-02-12
B01224,MERRILL LYNCH FAR EAST LTD,0,-28000,0.0,-0.0,2015-02-12
B01183,CHONG HING SECURITIES LTD,2693742,292000,0.05,0.01,2015-02-12
B01118,EAST ASIA SECURITIES CO LTD,2017205,28000,0.04,0.0,2015-02-12
B01089,HSBC BROKING SECURITIES (HONG KONG) LTD,5856856,72000,0.11,0.0,2015-02-12
,Total changed named holdings,591272332,90000000,11.15,1.7,
,Unchanged named holdings,767450297,0,14.47,0.0,
,Total named holdings,1358722629,90000000,25.62,0.0,
,Unnamed Investor Participants,429655,0,0.01,0.0,
,Total securities in CCASS,1359152284,90000000,25.63,1.7,
,Securities not in CCASS,3943649631,-90000000,74.37,-1.7,
,Issued securities,5302801915,0,100.0,0.0,31-Jan-2015
