CCASS ID,Name,Holding,Change,Stake%,StakeΔ %,Lastholding
C00074,DEUTSCHE BANK AG,35160,27160,0.0,0.0,2013-11-11
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,9539534,24000,0.94,0.0,2013-11-11
C00033,BANK OF CHINA (HONG KONG) LTD,60782417,-168000,5.96,-0.02,2013-11-11
C00019,THE HONGKONG AND SHANGHAI BANKING,81305190,120000,7.97,0.01,2013-11-11
C00010,CITIBANK N.A.,4870728,36000,0.48,0.0,2013-11-11
B01853,CMBC SECURITIES CO LTD,1020,-100000,0.0,-0.01,2013-11-11
B01818,I-ACCESS INVESTORS LTD,80000,16000,0.01,0.0,2013-11-11
B01700,REALINK FINANCIAL TRADE LTD,41600,16000,0.0,0.0,2013-11-11
B01659,CHEER UNION SECURITIES LTD,76000,-16000,0.01,-0.0,2013-11-11
B01649,CINDA INTERNATIONAL SECURITIES LTD,75400,-40000,0.01,-0.0,2013-11-11
B01604,HUABANG SECURITIES LTD,100000,-24000,0.01,-0.0,2013-11-11
B01284,HANG SENG SECURITIES LTD,10434267,80000,1.02,0.01,2013-11-11
B01266,PREMIER Q SECURITIES LTD,1224000,-300000,0.12,-0.03,2013-11-11
B01228,CITIC SECURITIES BROKERAGE (HK) LTD,1167705,-100000,0.11,-0.01,2013-11-11
B01224,MERRILL LYNCH FAR EAST LTD,43418,-95160,0.0,-0.01,2013-11-11
B01183,CHONG HING SECURITIES LTD,868342,-12000,0.09,-0.0,2013-11-11
B01148,CHINA MERCHANTS SECURITIES (HK) CO LTD,13298543,684000,1.3,0.07,2013-11-11
B01143,HAITONG INTERNATIONAL SECURITIES CO LTD,49186323,-100000,4.82,-0.01,2013-11-11
B01130,BOCI SECURITIES LTD,5095744,-48000,0.5,-0.0,2013-11-11
,Total changed named holdings,238225391,0,23.36,0.0,
,Unchanged named holdings,141869013,0,13.91,0.0,
,Total named holdings,380094404,0,37.28,0.0,
,Unnamed Investor Participants,281255,0,0.03,0.0,
,Total securities in CCASS,380375659,0,37.31,0.0,
,Securities not in CCASS,639217199,0,62.69,0.0,
,Issued securities,1019592858,0,100.0,0.0,31-Oct-2013
