CCASS ID,Name,Holding,Change,Stake%,StakeΔ %,Lastholding
C00065,HSBC PRIVATE BANK (SUISSE) SA,84284000,-10000000,1.06,-0.13,2011-01-17
C00048,CHIYU BANKING CORPORATION LTD,2906000,152000,0.04,0.0,2011-01-17
C00041,OCBC WING HANG BANK LTD,9182000,-416000,0.12,-0.01,2011-01-17
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,42606000,-986000,0.54,-0.01,2011-01-17
C00037,SHANGHAI COMMERCIAL BANK LTD,132746000,1170000,1.67,0.01,2011-01-17
C00033,BANK OF CHINA (HONG KONG) LTD,139010000,-2598000,1.75,-0.03,2011-01-17
C00028,NANYANG COMMERCIAL BANK LTD,32128000,-550000,0.41,-0.01,2011-01-17
C00019,THE HONGKONG AND SHANGHAI BANKING,348690000,-7330000,4.4,-0.09,2011-01-17
C00015,DBS BANK (HONG KONG) LTD,90832000,-9350000,1.15,-0.12,2011-01-17
C00010,CITIBANK N.A.,24895614,500000,0.31,0.01,2011-01-17
C00002,BANK OF COMMUNICATIONS TRUSTEE LTD,16792000,400000,0.21,0.01,2011-01-17
B01904,VALUABLE CAPITAL LTD,3000000,3000000,0.04,0.04,2011-01-17
B01884,HONG KONG SECURITIES (INTERNATIONAL),400000,300000,0.01,0.0,2011-01-17
B01859,CLC SECURITIES LTD,200000,100000,0.0,0.0,2011-01-17
B01858,YUANTA SECURITIES (HONG KONG) CO LTD,6000,-2000,0.0,-0.0,2011-01-17
B01852,FREEMAN SECURITIES LTD,1000000,1000000,0.01,0.01,2011-01-17
B01843,TD KING SECURITIES LTD,926000,198000,0.01,0.0,2011-01-17
B01842,BOCOM INTERNATIONAL SECURITIES LTD,24264000,-1100000,0.31,-0.01,2011-01-17
B01826,GF SECURITIES (HONG KONG) BROKERAGE LTD,12846000,4802000,0.16,0.06,2011-01-17
B01818,I-ACCESS INVESTORS LTD,794000,-28000,0.01,-0.0,2011-01-17
B01809,CHINA SYSTEM SECURITIES LTD,0,-400000,0.0,-0.01,2011-01-17
B01776,AIF SECURITIES LTD,210000,-300000,0.0,-0.0,2011-01-17
B01762,DBS VICKERS (HONG KONG) LTD,19050000,10280000,0.24,0.13,2011-01-17
B01747,MERDEKA SECURITIES LTD,0,-300000,0.0,-0.0,2011-01-17
B01732,WINTECH SECURITIES LTD,870000,200000,0.01,0.0,2011-01-17
B01727,ICBC (ASIA) SECURITIES LTD,6522000,-170000,0.08,-0.0,2011-01-17
B01700,REALINK FINANCIAL TRADE LTD,556000,-140000,0.01,-0.0,2011-01-17
B01695,DAH SING SECURITIES LTD,2672000,110000,0.03,0.0,2011-01-17
B01694,POWER SECURITIES CO LTD,2700000,-500000,0.03,-0.01,2011-01-17
B01686,FIRST SHANGHAI SECURITIES LTD,19910000,184000,0.25,0.0,2011-01-17
B01685,EVERGRANDE SECURITIES (HONG KONG) LTD,1766000,558000,0.02,0.01,2011-01-17
B01676,TAI SHING STOCK INVESTMENT CO LTD,7860000,-430000,0.1,-0.01,2011-01-17
B01673,FULBRIGHT SECURITIES LTD,1054000,-880000,0.01,-0.01,2011-01-17
B01670,BAOQIAO PARTNERS SECURITIES (HK) LTD,100000,-100000,0.0,-0.0,2011-01-17
B01668,BRIGHT SMART SECURITIES INTERNATIONAL,5636000,-1440000,0.07,-0.02,2011-01-17
B01660,GRANSING SECURITIES CO LTD,716000,666000,0.01,0.01,2011-01-17
B01646,TAI NING STOCK CO LTD,440000,100000,0.01,0.0,2011-01-17
B01636,BUSINESS SECURITIES LTD,366000,-400000,0.0,-0.01,2011-01-17
B01610,KGI ASIA LTD,4886000,-214000,0.06,-0.0,2011-01-17
B01607,RHB SECURITIES HONG KONG LTD,12562000,-3820000,0.16,-0.05,2011-01-17
B01604,HUABANG SECURITIES LTD,0,-306000,0.0,-0.0,2011-01-17
B01599,POLARIS SECURITIES (HONG KONG) LTD,30000,-500000,0.0,-0.01,2011-01-17
B01584,CHIEF SECURITIES LTD,5054000,376000,0.06,0.0,2011-01-17
B01575,MASTER TRADEMORE SECURITIES LTD,1800000,-500000,0.02,-0.01,2011-01-17
B01565,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,9840000,186000,0.12,0.0,2011-01-17
B01563,HUARONG INTERNATIONAL SECURITIES LTD,3036000,-50000,0.04,-0.0,2011-01-17
B01545,TUNG SHING SECURITIES (BROKERS) LTD,10412000,-280000,0.13,-0.0,2011-01-17
B01540,UPBEST SECURITIES CO LTD,60000,-200000,0.0,-0.0,2011-01-17
B01521,CHAN NGOK MING SECURITIES LTD,0,-500000,0.0,-0.01,2011-01-17
B01514,KARL-THOMSON SECURITIES CO LTD,1596000,-250000,0.02,-0.0,2011-01-17
B01508,SOUTHWEST SECURITIES (HK) BROKERAGE LTD,550000,400000,0.01,0.01,2011-01-17
B01494,AUDREY CHOW SECURITIES LTD,120000,120000,0.0,0.0,2011-01-17
B01457,MARS SECURITIES CO LTD,0,-400000,0.0,-0.01,2011-01-17
B01455,NATIONAL RESOURCES SECURITIES LTD,262000,-100000,0.0,-0.0,2011-01-17
B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,160000,-304000,0.0,-0.0,2011-01-17
B01445,VICTORY SECURITIES CO LTD,630000,-300000,0.01,-0.0,2011-01-17
B01439,TAI TAK SECURITIES (ASIA) LTD,548000,250000,0.01,0.0,2011-01-17
B01438,KINGSTON SECURITIES LTD,2110000,2000000,0.03,0.03,2011-01-17
B01427,SINCERE SECURITIES LTD,1030000,100000,0.01,0.0,2011-01-17
B01423,PRUDENTIAL BROKERAGE LTD,2598000,-300000,0.03,-0.0,2011-01-17
B01416,VC BROKERAGE LTD,1456000,-874000,0.02,-0.01,2011-01-17
B01415,TARZAN STOCK & SHARES LTD,512000,-460000,0.01,-0.01,2011-01-17
B01373,CHRISTFUND SECURITIES LTD,2580000,650000,0.03,0.01,2011-01-17
B01355,CHINA EVERBRIGHT SECURITIES (HK) LTD,3280000,1850000,0.04,0.02,2011-01-17
B01353,UOB KAY HIAN (HONG KONG) LTD,2518000,300000,0.03,0.0,2011-01-17
B01345,PHILLIP SECURITIES (HONG KONG) LTD,11110000,1254000,0.14,0.02,2011-01-17
B01338,EMPEROR SECURITIES LTD,2370000,-668000,0.03,-0.01,2011-01-17
B01324,FUNDERSTONE SECURITIES LTD,3550000,-358000,0.04,-0.0,2011-01-17
B01310,TUNG TAK SECURITIES (H.K.) CO LTD,1216000,1000000,0.02,0.01,2011-01-17
B01290,SPS SECURITIES LTD,480000,-300000,0.01,-0.0,2011-01-17
B01289,SOUTH CHINA SECURITIES LTD,4476000,60000,0.06,0.0,2011-01-17
B01284,HANG SENG SECURITIES LTD,60208000,220000,0.76,0.0,2011-01-17
B01280,WING FAT SECURITIES LTD,30000,-700000,0.0,-0.01,2011-01-17
B01275,SANFULL SECURITIES LTD,780000,-400000,0.01,-0.01,2011-01-17
B01266,PREMIER Q SECURITIES LTD,65660000,-770000,0.83,-0.01,2011-01-17
B01265,OCBC WING HANG SHARES BROKERAGE CO. LTD,100000,-708000,0.0,-0.01,2011-01-17
B01264,KIM ENG SECURITIES (HONG KONG) LTD,5760000,-1400000,0.07,-0.02,2011-01-17
B01258,CHINA POINT STOCK BROKERS LTD,4160000,-1800000,0.05,-0.02,2011-01-17
B01246,ROCTEC SECURITIES CO LTD,606000,-100000,0.01,-0.0,2011-01-17
B01240,TSUN CHI YUEN SECURITIES CO LTD,28944,-200000,0.0,-0.0,2011-01-17
B01231,HONG KONG INTERNATIONAL SECURITIES LTD,494000,-120000,0.01,-0.0,2011-01-17
B01230,PACIFIC FOUNDATION SECURITIES LTD,1400000,200000,0.02,0.0,2011-01-17
B01228,CITIC SECURITIES BROKERAGE (HK) LTD,6620000,-200000,0.08,-0.0,2011-01-17
B01224,MERRILL LYNCH FAR EAST LTD,916000,-98000,0.01,-0.0,2011-01-17
B01217,TAIPING SECURITIES (HK) CO LTD,1636000,-700000,0.02,-0.01,2011-01-17
B01212,HENYEP SECURITIES LTD,320000,100000,0.0,0.0,2011-01-17
B01184,CHINA TONGHAI SECURITIES LTD,10000,-128000,0.0,-0.0,2011-01-17
B01183,CHONG HING SECURITIES LTD,11066000,-262000,0.14,-0.0,2011-01-17
B01169,PUBLIC FINANCIAL SECURITIES LTD,754000,-616000,0.01,-0.01,2011-01-17
B01156,CMB INTERNATIONAL GLOBAL MARKETS LTD,12918000,-710000,0.16,-0.01,2011-01-17
B01148,CHINA MERCHANTS SECURITIES (HK) CO LTD,96388000,36910000,1.22,0.47,2011-01-17
B01143,HAITONG INTERNATIONAL SECURITIES CO LTD,340943663,-13844000,4.3,-0.17,2011-01-17
B01137,CHOW SANG SANG SECURITIES LTD,2314000,1000000,0.03,0.01,2011-01-17
B01130,BOCI SECURITIES LTD,64824000,-394000,0.82,-0.0,2011-01-17
B01129,WOCOM SECURITIES LTD,652000,600000,0.01,0.01,2011-01-17
B01119,CELESTIAL SECURITIES LTD,7458000,-200000,0.09,-0.0,2011-01-17
B01118,EAST ASIA SECURITIES CO LTD,8498000,-200000,0.11,-0.0,2011-01-17
B01115,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,3002000,-200000,0.04,-0.0,2011-01-17
B01089,HSBC BROKING SECURITIES (HONG KONG) LTD,28480000,106000,0.36,0.0,2011-01-17
B01086,SUN HUNG KAI INVESTMENT SERVICES LTD,12498000,452000,0.16,0.01,2011-01-17
,Total changed named holdings,1867292221,0,23.55,0.0,
,Unchanged named holdings,264146459,0,3.33,0.0,
,Total named holdings,2131438680,0,26.88,0.0,
,Unnamed Investor Participants,3020000,0,0.04,0.0,
,Total securities in CCASS,2134458680,0,26.92,0.0,
,Securities not in CCASS,5795708004,0,73.08,0.0,
,Issued securities,7930166684,0,100.0,0.0,31-Dec-2010
