CCASS ID,Name,Holding,Change,Stake%,StakeΔ %,Lastholding
C00100,"JPMORGAN CHASE BANK, NATIONAL",8819800,8000,0.13,0.0,2019-04-04
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,17314892,-4000,0.26,-0.0,2019-04-04
C00033,BANK OF CHINA (HONG KONG) LTD,74410566,72000,1.14,0.0,2019-04-04
C00019,THE HONGKONG AND SHANGHAI BANKING,314289399,192000,4.8,0.0,2019-04-04
C00010,CITIBANK N.A.,989672,-40000,0.02,-0.0,2019-04-04
C00002,BANK OF COMMUNICATIONS TRUSTEE LTD,87658962,-292000,1.34,-0.0,2019-04-04
B01955,FUTU SECURITIES INTERNATIONAL,433000,-32000,0.01,-0.0,2019-04-04
B01843,TD KING SECURITIES LTD,123000,-40000,0.0,-0.0,2019-04-04
B01818,I-ACCESS INVESTORS LTD,170000,-20000,0.0,-0.0,2019-04-04
B01676,TAI SHING STOCK INVESTMENT CO LTD,73000,32000,0.0,0.0,2019-04-04
B01659,CHEER UNION SECURITIES LTD,0,-52000,0.0,-0.0,2019-04-04
B01497,SINOPAC SECURITIES (ASIA) LTD,801386029,196000,12.24,0.0,2019-04-04
B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,193538,16000,0.0,0.0,2019-04-04
B01345,PHILLIP SECURITIES (HONG KONG) LTD,528514,-8000,0.01,-0.0,2019-04-04
B01323,DEUTSCHE SECURITIES ASIA LTD,1228000,8000,0.02,0.0,2019-04-04
B01212,HENYEP SECURITIES LTD,792000,-40000,0.01,-0.0,2019-04-04
B01184,CHINA TONGHAI SECURITIES LTD,15285,4000,0.0,0.0,2019-04-04
,Total changed named holdings,1308425657,0,19.99,0.0,
,Unchanged named holdings,4819742159,0,73.63,0.0,
,Total named holdings,6128167816,0,93.62,0.0,
,Unnamed Investor Participants,541655,0,0.01,0.0,
,Total securities in CCASS,6128709471,0,93.63,0.0,
,Securities not in CCASS,416911660,0,6.37,0.0,
,Issued securities,6545621131,0,100.0,0.0,31-Mar-2019
