CCASS ID,Name,Holding,Change,Stake%,StakeΔ %,Lastholding
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,31184934,148000,0.59,0.0,2015-08-14
C00019,THE HONGKONG AND SHANGHAI BANKING,365786160,-610000,6.9,-0.01,2015-08-14
C00010,CITIBANK N.A.,54791386,-8000,1.03,-0.0,2015-08-14
B01955,FUTU SECURITIES INTERNATIONAL,2288000,252000,0.04,0.0,2015-08-14
B01882,PING AN OF CHINA SECURITIES (HONG KONG),59518917,-48000,1.12,-0.0,2015-08-14
B01843,TD KING SECURITIES LTD,135000,-20000,0.0,-0.0,2015-08-14
B01769,ONE CHINA SECURITIES LTD,133170,-2000,0.0,-0.0,2015-08-14
B01727,ICBC (ASIA) SECURITIES LTD,18668325,36000,0.35,0.0,2015-08-14
B01695,DAH SING SECURITIES LTD,5779600,-4000,0.11,-0.0,2015-08-14
B01668,BRIGHT SMART SECURITIES INTERNATIONAL,3837600,-44000,0.07,-0.0,2015-08-14
B01584,CHIEF SECURITIES LTD,2366228,-8000,0.04,-0.0,2015-08-14
B01497,SINOPAC SECURITIES (ASIA) LTD,79795009,492000,1.5,0.01,2015-08-14
B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,200000,128000,0.0,0.0,2015-08-14
B01445,VICTORY SECURITIES CO LTD,243000,-8000,0.0,-0.0,2015-08-14
B01351,WING FUNG SECURITIES LTD,68000,60000,0.0,0.0,2015-08-14
B01284,HANG SENG SECURITIES LTD,41142267,308000,0.78,0.01,2015-08-14
B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,50000,-8000,0.0,-0.0,2015-08-14
B01156,CMB INTERNATIONAL GLOBAL MARKETS LTD,2988884,-20000,0.06,-0.0,2015-08-14
B01148,CHINA MERCHANTS SECURITIES (HK) CO LTD,10611172,-540000,0.2,-0.01,2015-08-14
B01143,HAITONG INTERNATIONAL SECURITIES CO LTD,46567141,-52000,0.88,-0.0,2015-08-14
B01130,BOCI SECURITIES LTD,19526744,-52000,0.37,-0.0,2015-08-14
,Total changed named holdings,745681537,0,14.06,0.0,
,Unchanged named holdings,849162977,0,16.01,0.0,
,Total named holdings,1594844514,0,30.08,0.0,
,Unnamed Investor Participants,316655,0,0.01,0.0,
,Total securities in CCASS,1595161169,0,30.08,0.0,
,Securities not in CCASS,3707640746,0,69.92,0.0,
,Issued securities,5302801915,0,100.0,0.0,31-Jul-2015
