CCASS ID,Name,Holding,Change,Stake%,StakeΔ %,Lastholding
C00093,BNP PARIBAS SECURITIES SERVICES,1776000,200000,0.03,0.0,2015-11-27
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,34276934,-288000,0.6,-0.01,2015-11-27
C00033,BANK OF CHINA (HONG KONG) LTD,103201295,-24000,1.82,-0.0,2015-11-27
C00019,THE HONGKONG AND SHANGHAI BANKING,327804093,116000,5.77,0.0,2015-11-27
C00010,CITIBANK N.A.,55468386,256000,0.98,0.0,2015-11-27
B01843,TD KING SECURITIES LTD,199000,64000,0.0,0.0,2015-11-27
B01565,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,18158314,-36000,0.32,-0.0,2015-11-27
B01545,TUNG SHING SECURITIES (BROKERS) LTD,1496285,-44000,0.03,-0.0,2015-11-27
B01491,CREDIT SUISSE SECURITIES (HONG KONG) LTD,1924000,-208000,0.03,-0.0,2015-11-27
B01161,UBS SECURITIES HONG KONG LTD,2923714,-36000,0.05,-0.0,2015-11-27
,Total changed named holdings,547228021,0,9.63,0.0,
,Unchanged named holdings,1381005826,0,24.3,0.0,
,Total named holdings,1928233847,0,33.93,0.0,
,Unnamed Investor Participants,256655,0,0.0,0.0,
,Total securities in CCASS,1928490502,0,33.93,0.0,
,Securities not in CCASS,3755144746,0,66.07,0.0,
,Issued securities,5683635248,0,100.0,0.0,31-Oct-2015
