CCASS ID,Name,Holding,Change,Stake%,StakeΔ %,Lastholding
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,61606000,8000,0.78,0.0,2011-02-15
C00033,BANK OF CHINA (HONG KONG) LTD,137774000,-72000,1.74,-0.0,2011-02-15
C00028,NANYANG COMMERCIAL BANK LTD,31548000,80000,0.4,0.0,2011-02-15
C00019,THE HONGKONG AND SHANGHAI BANKING,335910000,200000,4.24,0.0,2011-02-15
B01842,BOCOM INTERNATIONAL SECURITIES LTD,28160000,-200000,0.36,-0.0,2011-02-15
B01825,GUOYUAN SECURITIES BROKERAGE (HONG KONG),3300000,400000,0.04,0.01,2011-02-15
B01818,I-ACCESS INVESTORS LTD,618000,-32000,0.01,-0.0,2011-02-15
B01725,GT CAPITAL LTD,500000,500000,0.01,0.01,2011-02-15
B01695,DAH SING SECURITIES LTD,1096000,-900000,0.01,-0.01,2011-02-15
B01686,FIRST SHANGHAI SECURITIES LTD,20660000,100000,0.26,0.0,2011-02-15
B01610,KGI ASIA LTD,4698000,216000,0.06,0.0,2011-02-15
B01607,RHB SECURITIES HONG KONG LTD,5414000,206000,0.07,0.0,2011-02-15
B01599,POLARIS SECURITIES (HONG KONG) LTD,23230000,-186000,0.29,-0.0,2011-02-15
B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,450000,150000,0.01,0.0,2011-02-15
B01355,CHINA EVERBRIGHT SECURITIES (HK) LTD,1336000,-1000000,0.02,-0.01,2011-02-15
B01345,PHILLIP SECURITIES (HONG KONG) LTD,9558000,100000,0.12,0.0,2011-02-15
B01289,SOUTH CHINA SECURITIES LTD,4916000,300000,0.06,0.0,2011-02-15
B01284,HANG SENG SECURITIES LTD,58542000,76000,0.74,0.0,2011-02-15
B01266,PREMIER Q SECURITIES LTD,62026000,380000,0.78,0.0,2011-02-15
B01148,CHINA MERCHANTS SECURITIES (HK) CO LTD,160774000,-606000,2.03,-0.01,2011-02-15
B01143,HAITONG INTERNATIONAL SECURITIES CO LTD,290707663,-300000,3.67,-0.0,2011-02-15
B01130,BOCI SECURITIES LTD,71172000,500000,0.9,0.01,2011-02-15
B01119,CELESTIAL SECURITIES LTD,11088000,-100000,0.14,-0.0,2011-02-15
B01086,SUN HUNG KAI INVESTMENT SERVICES LTD,12384000,180000,0.16,0.0,2011-02-15
,Total changed named holdings,1337467663,0,16.87,0.0,
,Unchanged named holdings,794071017,0,10.01,0.0,
,Total named holdings,2131538680,0,26.88,0.0,
,Unnamed Investor Participants,3020000,0,0.04,0.0,
,Total securities in CCASS,2134558680,0,26.92,0.0,
,Securities not in CCASS,5795608004,0,73.08,0.0,
,Issued securities,7930166684,0,100.0,0.0,31-Jan-2011
