CCASS ID,Name,Holding,Change,Stake%,StakeΔ %,Lastholding
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,29444934,92000,0.56,0.0,2015-05-14
C00033,BANK OF CHINA (HONG KONG) LTD,119750495,80572,2.26,0.0,2015-05-14
C00028,NANYANG COMMERCIAL BANK LTD,20705398,60000,0.39,0.0,2015-05-14
C00019,THE HONGKONG AND SHANGHAI BANKING,371835407,-800000,7.01,-0.02,2015-05-14
C00010,CITIBANK N.A.,57408186,24000,1.08,0.0,2015-05-14
C00002,BANK OF COMMUNICATIONS TRUSTEE LTD,2648362,100000,0.05,0.0,2015-05-14
B01945,INTEGRITY SECURITIES LTD,42306000,-300000,0.8,-0.01,2015-05-14
B01882,PING AN OF CHINA SECURITIES (HONG KONG),55618917,-588000,1.05,-0.01,2015-05-14
B01842,BOCOM INTERNATIONAL SECURITIES LTD,6372284,20000,0.12,0.0,2015-05-14
B01825,GUOYUAN SECURITIES BROKERAGE (HONG KONG),14968000,1308000,0.28,0.02,2015-05-14
B01818,I-ACCESS INVESTORS LTD,792000,4000,0.01,0.0,2015-05-14
B01769,ONE CHINA SECURITIES LTD,3759,3428,0.0,0.0,2015-05-14
B01727,ICBC (ASIA) SECURITIES LTD,10736325,24000,0.2,0.0,2015-05-14
B01686,FIRST SHANGHAI SECURITIES LTD,27307139,-200000,0.51,-0.0,2015-05-14
B01685,EVERGRANDE SECURITIES (HONG KONG) LTD,2456400,-68000,0.05,-0.0,2015-05-14
B01673,FULBRIGHT SECURITIES LTD,256114,28000,0.0,0.0,2015-05-14
B01668,BRIGHT SMART SECURITIES INTERNATIONAL,3941600,44000,0.07,0.0,2015-05-14
B01623,TAI FUNG KUENTAI SECURITIES CO LTD,487600,100000,0.01,0.0,2015-05-14
B01610,KGI ASIA LTD,3281126,8000,0.06,0.0,2015-05-14
B01584,CHIEF SECURITIES LTD,1085228,40000,0.02,0.0,2015-05-14
B01563,HUARONG INTERNATIONAL SECURITIES LTD,921400,80000,0.02,0.0,2015-05-14
B01546,WO FUNG SECURITIES CO LTD,161143,128000,0.0,0.0,2015-05-14
B01497,SINOPAC SECURITIES (ASIA) LTD,77622655,-100000,1.46,-0.0,2015-05-14
B01356,DELTA ASIA SECURITIES LTD,600858,200000,0.01,0.0,2015-05-14
B01353,UOB KAY HIAN (HONG KONG) LTD,7342172,-8000,0.14,-0.0,2015-05-14
B01284,HANG SENG SECURITIES LTD,42829267,40000,0.81,0.0,2015-05-14
B01266,PREMIER Q SECURITIES LTD,448000,48000,0.01,0.0,2015-05-14
B01260,LAMTEX SECURITIES LTD,2800000,-200000,0.05,-0.0,2015-05-14
B01224,MERRILL LYNCH FAR EAST LTD,80000,80000,0.0,0.0,2015-05-14
B01183,CHONG HING SECURITIES LTD,2868142,40000,0.05,0.0,2015-05-14
B01156,CMB INTERNATIONAL GLOBAL MARKETS LTD,9016884,-68000,0.17,-0.0,2015-05-14
B01148,CHINA MERCHANTS SECURITIES (HK) CO LTD,8259172,-320000,0.16,-0.01,2015-05-14
B01118,EAST ASIA SECURITIES CO LTD,2283205,60000,0.04,0.0,2015-05-14
B01115,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,54879482,40000,1.03,0.0,2015-05-14
,Total changed named holdings,981517654,0,18.51,0.0,
,Unchanged named holdings,442957975,0,8.35,0.0,
,Total named holdings,1424475629,0,26.86,0.0,
,Unnamed Investor Participants,776655,0,0.01,0.0,
,Total securities in CCASS,1425252284,0,26.88,0.0,
,Securities not in CCASS,3877549631,0,73.12,0.0,
,Issued securities,5302801915,0,100.0,0.0,30-Apr-2015
