CCASS ID,Name,Holding,Change,Stake%,StakeΔ %,Lastholding
C00088,CHINA MERCHANTS BANK CO LTD,4905743,-800000,0.08,-0.01,2017-11-01
C00033,BANK OF CHINA (HONG KONG) LTD,92435187,-232000,1.42,-0.0,2017-11-01
C00028,NANYANG COMMERCIAL BANK LTD,12448662,-500000,0.19,-0.01,2017-11-01
C00019,THE HONGKONG AND SHANGHAI BANKING,288989717,-72000,4.43,-0.0,2017-11-01
C00010,CITIBANK N.A.,38837872,-24000,0.6,-0.0,2017-11-01
B02093,UPMAX SECURITIES LTD,1000,1000,0.0,0.0,2017-11-01
B01955,FUTU SECURITIES INTERNATIONAL,468000,284000,0.01,0.0,2017-11-01
B01776,AIF SECURITIES LTD,0,-1000,0.0,-0.0,2017-11-01
B01716,ORIENT SECURITIES LTD,0,-600000,0.0,-0.01,2017-11-01
B01715,PRESIDENT SECURITIES (HONG KONG) LTD,67276000,2100000,1.03,0.03,2017-11-01
B01680,SUCCESS SECURITIES LTD,656000,656000,0.01,0.01,2017-11-01
B01668,BRIGHT SMART SECURITIES INTERNATIONAL,4250400,36000,0.07,0.0,2017-11-01
B01654,CHINA INTERNATIONAL CAPITAL CORPORATION,9507600,-500000,0.15,-0.01,2017-11-01
B01556,LUK FOOK SECURITIES (HK) LTD,969927,312000,0.01,0.0,2017-11-01
B01551,YUE XIU SECURITIES CO LTD,165200,32000,0.0,0.0,2017-11-01
B01497,SINOPAC SECURITIES (ASIA) LTD,670897643,-400000,10.29,-0.01,2017-11-01
B01323,DEUTSCHE SECURITIES ASIA LTD,480000,8000,0.01,0.0,2017-11-01
B01289,SOUTH CHINA SECURITIES LTD,217600,-688000,0.0,-0.01,2017-11-01
B01275,SANFULL SECURITIES LTD,1886571,200000,0.03,0.0,2017-11-01
B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,384000,-4000,0.01,-0.0,2017-11-01
B01115,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,10497197,192000,0.16,0.0,2017-11-01
,Total changed named holdings,1205274319,0,18.49,0.0,
,Unchanged named holdings,4379762815,0,67.19,0.0,
,Total named holdings,5585037134,0,85.68,0.0,
,Unnamed Investor Participants,1056655,0,0.02,0.0,
,Total securities in CCASS,5586093789,0,85.7,0.0,
,Securities not in CCASS,932245163,0,14.3,0.0,
,Issued securities,6518338952,0,100.0,0.0,31-Oct-2017
