CCASS ID,Name,Holding,Change,Stake%,StakeΔ %,Lastholding
C00100,"JPMORGAN CHASE BANK, NATIONAL",1052200,20000,0.02,0.0,2016-06-06
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,44885308,4000,0.79,0.0,2016-06-06
C00037,SHANGHAI COMMERCIAL BANK LTD,11940713,-12000,0.21,-0.0,2016-06-06
C00033,BANK OF CHINA (HONG KONG) LTD,104610987,-40000,1.84,-0.0,2016-06-06
C00010,CITIBANK N.A.,46928386,-32000,0.83,-0.0,2016-06-06
B01866,ICBC INTERNATIONAL SECURITIES LTD,3364000,40000,0.06,0.0,2016-06-06
B01769,ONE CHINA SECURITIES LTD,135393,2000,0.0,0.0,2016-06-06
B01668,BRIGHT SMART SECURITIES INTERNATIONAL,3980600,156000,0.07,0.0,2016-06-06
B01491,CREDIT SUISSE SECURITIES (HONG KONG) LTD,948000,536000,0.02,0.01,2016-06-06
B01323,DEUTSCHE SECURITIES ASIA LTD,40000,24000,0.0,0.0,2016-06-06
B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,4000,-50000,0.0,-0.0,2016-06-06
B01224,MERRILL LYNCH FAR EAST LTD,152000,4000,0.0,0.0,2016-06-06
B01212,HENYEP SECURITIES LTD,1240000,-380000,0.02,-0.01,2016-06-06
B01086,SUN HUNG KAI INVESTMENT SERVICES LTD,23383899,-272000,0.41,-0.0,2016-06-06
,Total changed named holdings,242665486,0,4.27,0.0,
,Unchanged named holdings,1732125961,0,30.48,0.0,
,Total named holdings,1974791447,0,34.75,0.0,
,Unnamed Investor Participants,1156655,0,0.02,0.0,
,Total securities in CCASS,1975948102,0,34.77,0.0,
,Securities not in CCASS,3707687146,0,65.23,0.0,
,Issued securities,5683635248,0,100.0,0.0,31-May-2016
