CCASS ID,Name,Holding,Change,Stake%,StakeΔ %,Lastholding
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,18094000,-40000,0.23,-0.0,2010-08-30
C00037,SHANGHAI COMMERCIAL BANK LTD,116498000,-50000,1.47,-0.0,2010-08-30
C00033,BANK OF CHINA (HONG KONG) LTD,105352000,-168000,1.33,-0.0,2010-08-30
C00019,THE HONGKONG AND SHANGHAI BANKING,242996000,286000,3.06,0.0,2010-08-30
C00002,BANK OF COMMUNICATIONS TRUSTEE LTD,56362000,-3312000,0.71,-0.04,2010-08-30
B01843,TD KING SECURITIES LTD,784000,10000,0.01,0.0,2010-08-30
B01842,BOCOM INTERNATIONAL SECURITIES LTD,3344000,-200000,0.04,-0.0,2010-08-30
B01829,HUATAI FINANCIAL HOLDINGS (HONG KONG),100000,-50000,0.0,-0.0,2010-08-30
B01705,HENIK SECURITIES LTD,2640000,-300000,0.03,-0.0,2010-08-30
B01668,BRIGHT SMART SECURITIES INTERNATIONAL,3316000,100000,0.04,0.0,2010-08-30
B01649,CINDA INTERNATIONAL SECURITIES LTD,1278000,200000,0.02,0.0,2010-08-30
B01608,TC CONCORD SECURITIES LTD,100000,-100000,0.0,-0.0,2010-08-30
B01607,RHB SECURITIES HONG KONG LTD,32808000,-1000000,0.41,-0.01,2010-08-30
B01565,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,6002000,1000000,0.08,0.01,2010-08-30
B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,144000,10000,0.0,0.0,2010-08-30
B01345,PHILLIP SECURITIES (HONG KONG) LTD,9084000,-202000,0.11,-0.0,2010-08-30
B01284,HANG SENG SECURITIES LTD,54100000,144000,0.68,0.0,2010-08-30
B01266,PREMIER Q SECURITIES LTD,31726000,150000,0.4,0.0,2010-08-30
B01150,MTF SECURITIES LTD,340000,-1000000,0.0,-0.01,2010-08-30
B01148,CHINA MERCHANTS SECURITIES (HK) CO LTD,18848000,110000,0.24,0.0,2010-08-30
B01143,HAITONG INTERNATIONAL SECURITIES CO LTD,624076163,-3800000,7.87,-0.05,2010-08-30
B01130,BOCI SECURITIES LTD,65990000,-50000,0.83,-0.0,2010-08-30
B01086,SUN HUNG KAI INVESTMENT SERVICES LTD,21570000,8262000,0.27,0.1,2010-08-30
,Total changed named holdings,1415552163,0,17.85,0.0,
,Unchanged named holdings,709871478,0,8.95,0.0,
,Total named holdings,2125423641,0,26.8,0.0,
,Unnamed Investor Participants,10296000,0,0.13,0.0,
,Total securities in CCASS,2135719641,0,26.93,0.0,
,Securities not in CCASS,5794447043,0,73.07,0.0,
,Issued securities,7930166684,0,100.0,0.0,31-Jul-2010
