CCASS ID,Name,Holding,Change,Stake%,StakeΔ %,Lastholding
C00060,THE ROYAL BANK OF SCOTLAND N.V.,5700000,200000,0.07,0.0,2010-03-08
C00048,CHIYU BANKING CORPORATION LTD,3722000,116000,0.05,0.0,2010-03-08
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,9230000,88000,0.12,0.0,2010-03-08
C00033,BANK OF CHINA (HONG KONG) LTD,80042000,750000,1.01,0.01,2010-03-08
C00019,THE HONGKONG AND SHANGHAI BANKING,77658000,660000,0.98,0.01,2010-03-08
B01858,YUANTA SECURITIES (HONG KONG) CO LTD,86000,6000,0.0,0.0,2010-03-08
B01850,HAI TONG SECURITIES (HK) BROKERAGE LTD,849966000,-2280000,10.72,-0.03,2010-03-08
B01826,GF SECURITIES (HONG KONG) BROKERAGE LTD,200000,50000,0.0,0.0,2010-03-08
B01789,HO FUNG SHARES INVESTMENT LTD,774943,100000,0.01,0.0,2010-03-08
B01769,ONE CHINA SECURITIES LTD,200058,-100000,0.0,-0.0,2010-03-08
B01762,DBS VICKERS (HONG KONG) LTD,1726000,-50000,0.02,-0.0,2010-03-08
B01727,ICBC (ASIA) SECURITIES LTD,7122000,-60000,0.09,-0.0,2010-03-08
B01724,RAMON INVESTMENT CO LTD,280000,120000,0.0,0.0,2010-03-08
B01722,CTW SECURITIES LTD,150000,100000,0.0,0.0,2010-03-08
B01695,DAH SING SECURITIES LTD,1790000,10000,0.02,0.0,2010-03-08
B01673,FULBRIGHT SECURITIES LTD,4446000,-200000,0.06,-0.0,2010-03-08
B01584,CHIEF SECURITIES LTD,2068000,-550000,0.03,-0.01,2010-03-08
B01552,CARRIER STOCK INVESTMENT CO LTD,0,-100000,0.0,-0.0,2010-03-08
B01545,TUNG SHING SECURITIES (BROKERS) LTD,10096000,-50000,0.13,-0.0,2010-03-08
B01469,KAISER SECURITIES LTD,6800000,-50000,0.09,-0.0,2010-03-08
B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,140000,-56000,0.0,-0.0,2010-03-08
B01434,BEEVEST SECURITIES LTD,200000,-500000,0.0,-0.01,2010-03-08
B01427,SINCERE SECURITIES LTD,860000,-150000,0.01,-0.0,2010-03-08
B01425,WELLFULL SECURITIES CO LTD,3160000,500000,0.04,0.01,2010-03-08
B01413,CORE PACIFIC - YAMAICHI INTERNATIONAL,3330000,220000,0.04,0.0,2010-03-08
B01376,PUBLIC SECURITIES LTD,54000,50000,0.0,0.0,2010-03-08
B01356,DELTA ASIA SECURITIES LTD,1060000,-154000,0.01,-0.0,2010-03-08
B01345,PHILLIP SECURITIES (HONG KONG) LTD,6682000,-204000,0.08,-0.0,2010-03-08
B01320,LUEN FAT SECURITIES CO LTD,3854000,-500000,0.05,-0.01,2010-03-08
B01284,HANG SENG SECURITIES LTD,33618000,214000,0.42,0.0,2010-03-08
B01275,SANFULL SECURITIES LTD,380000,-100000,0.0,-0.0,2010-03-08
B01265,OCBC WING HANG SHARES BROKERAGE CO. LTD,1670000,-50000,0.02,-0.0,2010-03-08
B01228,CITIC SECURITIES BROKERAGE (HK) LTD,7890000,50000,0.1,0.0,2010-03-08
B01212,HENYEP SECURITIES LTD,3342000,1312000,0.04,0.02,2010-03-08
B01183,CHONG HING SECURITIES LTD,5672000,-100000,0.07,-0.0,2010-03-08
B01156,CMB INTERNATIONAL GLOBAL MARKETS LTD,10182000,170000,0.13,0.0,2010-03-08
B01130,BOCI SECURITIES LTD,50108000,538000,0.63,0.01,2010-03-08
,Total changed named holdings,1194259001,0,15.06,0.0,
,Unchanged named holdings,755291464,0,9.52,0.0,
,Total named holdings,1949550465,0,24.58,0.0,
,Unnamed Investor Participants,9396000,0,0.12,0.0,
,Total securities in CCASS,1958946465,0,24.7,0.0,
,Securities not in CCASS,5971220219,0,75.3,0.0,
,Issued securities,7930166684,0,100.0,0.0,28-Feb-2010
